Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
The Global Findex Database 2017: Measuring Financial Inclusion and Opportunities to Expand Access to and Use of Financial Services,"Financial services can help drive development. They help people escape poverty by facilitating investments in their health, education, and businesses. And they make it easier to manage financial emergencies-such as a job loss or crop failure-that can push families into destitution. A growing body of research reveals many potential development benefits from financial inclusion-especially from the use of digital financial services, including mobile money services, payment cards, and other financial technology (or fintech) applications. Although the evidence is somewhat mixed, even studies that do not find positive results often point to possibilities for achieving better outcomes through careful attention to local needs.1 Many poor people around the world lack the financial services that can serve these functions, such as bank accounts and digital payments. Instead, they rely on cash-which can be unsafe and hard to manage. That's why the World Bank has made it a key priority to promote financial inclusion-access to and use of formal financial services. Measurement is key to understanding financial inclusion and identifying opportunities to expand it. In 2011 the World Bank launched the Global Findex database, theworld's most comprehensive database on how adults save, borrow, make payments, and manage risks. Compiled using nationally representative surveys in of more than 150,000 adults age 15 and above in over 140 economies, the 2017 Global Findex database includes updated indicators on access to, and use of, formal and informal financial services. It has additional data on the use of financial technology, including the use of mobile phones and the Internet to conduct financial transactions. The 2017 Global Findex is the third survey round, following the initial one and a second one in 2014.",credit; digital payments; Financial inclusion; financial resilience; mobile money; savings,2020,310,10.1093/wber/lhz013,Demirgüç-Kunt A.,World Bank Economic Review,2-s2.0-85081890321
"Fintech, Cryptocurrencies, and CBDC: Financial Structural Transformation in China","Fintech and decentralized finance have penetrated all areas of the financial system and have improved financial inclusion in the last decade. In this paper, we review the recent literature on fintech, cryptocurrencies, stablecoins, and central bank digital currencies (CBDCs). There are important implications from the rise of fintech and the introduction of stablecoins and CBDC in recent years. We provide an overview of China's experience in fintech, focusing on payments, digital banking, fintech lending, and the recent progress on its CBDC pilots (e-CNY). We also discuss important considerations in designing effective cryptocurrency regulations. Cryptocurrency regulations could promote growth of innovations through enhanced public confidence in this market. The e-CNY could become mainstream in the global market through effective regulations which provide incentives and protection to market participants. A key factor to success for digital currencies has been their widespread adoption. If the Chinese e-CNY were to become a mainstream currency, the introduction of CBDC could potentially offer solutions to existing problems inherent in the traditional financial systems.",CBDCs; China; Cryptocurrency Regulations; e-CNY; Fintech; Stablecoins,2022,305,10.1016/j.jimonfin.2022.102625,Allen F.,Journal of International Money and Finance,2-s2.0-85125956557
Nurturing a FinTech ecosystem: The case of a youth microloan startup in China,"Financial technology, or FinTech, involves the design and delivery of financial products and services through technology. It impacts financial institutions, regulators, customers, and merchants across a wide range of industries. Pervasive digital technologies are challenging the fundamentals of the highly regulated financial sector, leading to the emergence of non-traditional payment systems, peer-to-peer money exchanges and increased turbulence in currency markets. This case study explores the development of a FinTech company in China that offers microloans to college students. Five lessons learned are presented for organizations to better manage the challenges and to leverage the opportunities amidst the disruption of financial sector. Our findings also shed light on how digital technology 1) offers the strategic capability for a firm to occupy a market niche in financial sector, 2) enables the generation of alternative credit scores based on non-traditional data, and 3) improves the financial inclusion of previously excluded market segments.",Case study; Ecosystem development; Financial inclusion; FinTech; Online microloan,2017,295,10.1016/j.ijinfomgt.2016.11.006,Leong C.,International Journal of Information Management,2-s2.0-85011832590
How does financial literacy impact on inclusive finance?,"Inclusive finance is a core concept of finance that makes various financial products and services accessible and affordable to all individuals and businesses, especially those excluded from the formal financial system. One of the leading forces affecting people's ability to access financial services in rural areas is financial literacy. This study investigated the impacts of financial knowledge on financial access through banking, microfinance, and fintech access using the Bangladesh rural population data. We employed three econometrics models: logistic regression, probit regression, and complementary log–log regression to examine whether financial literacy significantly affects removing the barriers that prevent people from participating and using financial services to improve their lives. The empirical findings showed that knowledge regarding various financial services factors had significant impacts on getting financial access. Some variables such as profession, income level, knowledge regarding depositing and withdrawing money, and knowledge regarding interest rate highly affected the overall access to finance. The study's results provide valuable recommendations for the policymaker to improve financial inclusion in the developing country context. A comprehensive and long-term education program should be delivered broadly to the rural population to make a big stride in financial inclusion, a key driver of poverty reduction and prosperity boosting.",Bangladesh; Bank; Financial inclusion; Financial knowledge; Financial literacy; FinTech; Inclusive finance; Knowledge economy; Microfinance,2021,263,10.1186/s40854-021-00259-9,Hasan M.,Financial Innovation,2-s2.0-85107155343
Building financial resilience through financial and digital literacy in South Asia and Sub-Saharan Africa,"Globally, 1.7 billion adults still lack access to formal financial services, with a large percentage living in South Asia and Sub-Saharan Africa. Current financial inclusion strategies seek to enhance these vulnerable populations' access to financial services with the aim of building more inclusive and financially resilient societies. With the Fintech movement and over 67% of the world's population having a mobile phone, digital financial literacy is gaining momentum. Nevertheless, negligible research has measured its impacts on financial behavior. This study uses data from the InterMedia Financial Inclusion Insights (FII) surveys for seven South Asian and Sub-Saharan African countries to investigate the relationship between multidimensional measures of financial and digital literacy and resilience-building financial behaviors, including saving, borrowing, and risk management. The findings consistently show that both financial and digital literacy are key factors to building inclusiveness and financial resilience. Heterogeneities are identified across regions, as well as for poor, rural, and female households. A robustness check is also included to address potential endogeneity. The results emphasize the need to redefine traditional financial literacy to include digital literacy, with important implications for countries considering both as a dual approach to improving households' long-run financial resilience.",Digital literacy; Financial inclusion; Financial literacy; Financial services; South Asia; Sub-Saharan Africa,2022,259,10.1016/j.ememar.2021.100846,Kass-Hanna J.,Emerging Markets Review,2-s2.0-85119334437
FinTech adoption and financial inclusion: Evidence from household consumption in China,"This paper provides micro-level evidence on how FinTech adoption affects household consumption and consumption inequality. Our hypothesis is that through FinTech's payment facilitation and credit constraint alleviation, higher FinTech adoption by households fosters financial inclusion by promoting consumption. Financial inclusion is especially increased for households that traditionally consumed less, which suggests that FinTech could reduce consumption inequality. By combining region-level FinTech adoption measures with household-level representative data of consumption, we find that higher FinTech adoption by a household increases household consumption and reduces consumption inequality across households. Using the distance to Hangzhou from the city in which a household is located as an instrument variable to capture the exogenous variation in FinTech adoption yields results with similar economic and statistical significance. In addition, traditional financial infrastructure is still a prerequisite for the benign distributive impacts provided by FinTech credit, which demonstrates the need for further welfare-improving policies. Our paper adds to the literature by documenting FinTech to be a market force that contributes to financial inclusion.",Consumption; Consumption inequality; Credit constraint alleviation; FinTech adoption; Payment facilitation,2022,233,10.1016/j.jbankfin.2022.106668,Yang T.,Journal of Banking and Finance,2-s2.0-85138806241
Fintech in the time of COVID−19: Technological adoption during crises,"We document the effects of the COVID−19 pandemic on digital finance and fintech adoption. Drawing on mobile application data from a globally representative sample, we find that the spread of COVID− 19 and related government lockdowns led to a sizeable increase in the rate of finance app downloads. We then analyze factors that may have driven this effect on the demand−side and better understand the “winners” from this digital acceleration on the supply−side. Our overall results suggest that traditional incumbents saw the largest growth in their digital offerings during the initial period, but that “BigTech” companies and newer fintech providers ultimately outperformed them over time. Finally, we drill−down further on the adoption of fintech apps pertaining to both the asset and liability side of the traditional bank balance sheet, to explore the implications that the accelerated trends in digitization may have for the future landscape of financial intermediation.",COVID−19; Digital finance; Financial inclusion; Fintech; Market structure; Technological adoption,2022,225,10.1016/j.jfi.2021.100945,Fu J.,Journal of Financial Intermediation,2-s2.0-85122335805
Fintech-based financial inclusion and bank risk-taking: Evidence from OIC countries,"Financial inclusion has gone beyond the rhetoric surrounding social development and financial stability, but also expanding into pathos of arbitrage benefits made from cheap retail deposits by large banks and banks from technologically developed regions. This study investigates whether a higher degree of fintech-based financial inclusion (FFI) intensifies banks’ risk-taking by analysing data from 534 banks from 24 OIC countries. The results indicate that higher degree of FFI controls bank's risk-taking behaviour. The nexus turns stronger in the post-industrial revolution 4.0 (IR4.0) era. Our results are robust across multiple proxies and estimation methods. We discuss how competition surrounding investing in fintech may expose the banks towards severe uncertainty.",Banks’ risk-taking; Financial inclusion; Financial stability; Fintech; Z-score,2021,195,10.1016/j.intfin.2021.101447,Banna H.,Journal of International Financial Markets Institutions and Money,2-s2.0-85117378710
Understanding technological change in global finance through infrastructures: Introduction to Review of International Political Economy Special Issue ‘The Changing Technological Infrastructures of Global Finance’,"Amid escalating claims about the promises and perils of emergent financial technologies (fintech), critical investigation of the extent to which specific technological changes in global finance are truly ‘disruptive’ is sorely needed. Yet, IPE has engaged little with the growing focus on fintech in popular and regulatory debates, as well as in Social Studies of Finance (SSF). This article and accompanying special issue foreground ‘infrastructures’ as a heuristic for injecting nuance into debates on the emergence, limits and implications of technological changes in global finance while bringing IPE into conversation with perspectives on fintech in cognate literatures. Building on insights developed in Science and Technology Studies (STS), we argue that tracing the ways in which infrastructures enabling financial markets to operate are assembled out of multiple old and new socio-technical devices offers productive avenues for addressing key questions arising from several entanglements underpinning technological change. The findings of contributions to this special issue are linked to two key themes in debates on the impacts of technological change: financial inclusion and financial stability. Further avenues are proposed for examining the infrastructures in which technological change occurs in global finance and beyond, while fostering on-going dialogues between IPE, STS and SSF.",Finance; financial inclusion; financialization; governance; infrastructure; innovation; technology,2019,190,10.1080/09692290.2019.1625420,Bernards N.,Review of International Political Economy,2-s2.0-85068227974
"The role of fintech in driving financial inclusion in developing and emerging markets: issues, challenges and prospects","Purpose: In recent times, various governments in the developing and emerging markets are increasingly embracing financial technology to help improve financial inclusion and integration within the governments' countries. One of the primary goals of using such technology is to reduce poverty. This paper explores Fintech innovations' effectiveness in developing and emerging markets in driving financial inclusion using Nigeria as a case study. The paper explores the challenges militating against financial inclusion and the role of government, financial institutions, and fintech companies in ensuring financial inclusion for the vast majority of the unbanked population in the developing and emerging markets. Design/methodology/approach: This paper is based on doctrinal, sociological, and comparative research methodologies. The researchers conducted a content analysis drawing on data from both primary and secondary sources, including existing legislation, journal articles, newspaper reports, and policy documents. Findings: The research showed that the financial inclusion gap has expanded despite the government, regulators, and financial institutions' various efforts by developing various digital platforms, including encouraging the use of smartphones for mobile payments and automated teller machines (ATMs) and mobile money. Several reasons are responsible for the gap in financial inclusion: illiteracy, poor infrastructural facilities, intermittent power supply, poor mobile receptions, especially in rural areas, constant banks' network failures, unnecessary charges, information asymmetry and data privacy breaches, amongst others. Practical implications: Financial inclusion through fintech is essential in eradicating poverty in developing and emerging markets if adequately implemented. Therefore, this paper will be useful to researchers exploring how technology influences financial inclusion. The paper will also aid policymakers and practitioners in financial technology regulation to improve the effectiveness of policymakers and practitioners' policies and implementation strategies of financial inclusion in developing and emerging markets. Originality/value: This research is significant, especially in developing and emerging markets, by exploring issues and challenges of fintech in promoting financial inclusion in challenging institutional contexts. This paper suggested potential areas for further research, particularly women's attitudes and expectations towards services provided by fintech companies and other financial institutions.",Banking; Financial exclusion; Financial inclusion; Fintech; Institutional theory; Unbanked,2023,188,10.1108/TECHS-10-2021-0017,Ediagbonya V.,Technological Sustainability,2-s2.0-85190160827
Blockchain entrepreneurship opportunity in the practices of the unbanked,"Two billion people in developing economies have limited or no access to formal financial services, creating cause for substantial research interest in financial inclusion as a complex multidimensional phenomenon. Digital finance technologies, including blockchain, have empowered a type of crescive entrepreneurship that seeks opportunities in relation to financially excluded individuals. This article hypothesizes that nonmonetary causal factors and informal financial practices play a major role in habits of the financially excluded, which would favor blockchain's disintermediation features over the incumbent approach. After applying fuzzy-set Qualitative Comparative Analysis (fsQCA) to determine the conditions related to financial practice and motivations that explain the absence of a formal bank account, I prescribe five sensitivities that blockchain entrepreneurs need to consider when targeting this segment. The value of this article's approach extends well beyond traditional unisystemic views for financial inclusion, as blockchain-based entrepreneurial opportunities emerge to reveal alternative forms of disintermediated financial services, which we exemplify in startups modeling informal practices. Blockchain entrepreneurship can generate semi-formal financial services that bring financial aspirations closer to people. My perspective is relevant to blockchain entrepreneurs who aim to understand the practices of the unbanked as source information for the development of innovative solutions.",Blockchain; Financial entrepreneurship; Financial inclusion; Fintech; fsQCA; Informal finance,2017,185,10.1016/j.bushor.2017.07.012,Larios-Hernández G.J.,Business Horizons,2-s2.0-85029477219
Promoting China’s Inclusive Finance Through Digital Financial Services,"While much progress has been made in promoting inclusive finance through the ownership of a basic personal account, billions of people in developed and emerging markets are still underrepresented in financial services. Also, they are unable to contribute to the provision of better access to financial services. The purpose of this study was defined as to explore the contribution of digital financial services (DFSs) in promoting inclusive finance in China. This study presents a theoretical discussion on how DFSs play an important role in promoting China’s inclusive finance. This study uses the systematic review method of qualitative sampling to achieve the goal of this study. Different forces play different roles behind the promotion of inclusive finance. However, DFSs are considered to be one of the most influential forces in the development of inclusive finance in the present world. Many examples of how DFS can improve inclusive finance are discussed in the literature. In addition, different contributions to DFS usage are presented here to achieve the objectives of this study. The contents of the study contributed to a better understanding of the practical impact and implication of DFS tools in transforming the financial sector. In this study, first, a structured review method is followed; second, most important discussion on the contribution of DFS in promoting inclusive finance is presented and third, the relation between the topic and related research is identified.",Chinese inclusive finance; digital financial services; financial inclusion; FinTech; Inclusive finance; internet finance,2022,177,10.1177/0972150919895348,Hasan M.M.,Global Business Review,2-s2.0-85078998042
From Fintech to Finlife: the case of Fintech Development in China,"The purpose of technology is not to make finance better, but to make finance serve real life better. Fintech has grown much faster in China than in the United States. In China, this success has come not from an initial technology advantage, but from integration between finance and real-life needs. This experience has important implications for understanding financial innovations, and for the development of inclusive finance.",financial inclusion; financial scenarization; Fintech,2016,168,10.1080/17538963.2016.1215057,Chen L.,China Economic Journal,2-s2.0-84988481793
Navigating the Uncharted: The Shaping of FinTech Ecosystems in Emerging Markets,"Although there is a significant gap in comprehensive research on FinTech ecosystems in emerging markets, it is evident that these regions hold immense potential for growth in the field of financial technology. This study explores the FinTech landscape of these markets, focusing on the opportunities and challenges that exist. We emphasize the necessity of adopting localized, trust-oriented strategies, strengthening capacity, and exploring under-represented segments such as small markets and Islamic Finance. We further identify the need for confidence-building measures, customer-focused approaches, active consumer participation, equitable FinTech reporting, and an orientation toward the Future. We strongly encourage policymakers to update regulations that prioritise consumers, create task forces dedicated to FinTech, promote collaboration among regions, and ensure that business models comply with existing laws. We suggest simplifying regulations and developing a flexible, industry-specific regulatory action plan. In addition, we emphasise the significance of strategic investment in emerging market FinTech companies through secure regional registration, investor education, qualification programmes, third-party evaluation, and promoting mergers and acquisitions. These factors are essential for nurturing a strong FinTech ecosystem in these markets.",Ecosystem; Emerging Markets; Financial Inclusion; Fintech,2023,166,10.32826/cude.v46i132.1217,Ajouz M.,Cuadernos De Economia,2-s2.0-85190988545
Mobile money as a driver of digital financial inclusion,"Meeting the mobile money needs of the less privileged in developing and emerging markets opens up enormous possibilities for banks and newly emerged financial-technology firms. Many consider mobile money services a separate domain within the banking and payment sector, different from its siblings: automated teller machines, net banking, point-of-sale banking, etc. This study was conducted to investigate how mobile money services act as a reliable driver of digital financial inclusion and to determine the role of mobile money agents in the transformation from the traditional services to mobile money services. This paper presents a conceptual model based on the stimulus-organism-response paradigm. We propose that the mobile money agent characteristics are the stimuli, that the mobile money customer is the organism, and that the response of the organism to the stimuli is continuous usage, which leads to financial inclusion in the developing country of Ghana. The continuous usage of mobile money services by customers encourages more engagement experiences and advocacy intentions. We provide empirical evidence suggesting that mobile money agent credibility and service quality stimulate customer empowerment. Furthermore, we argue that for the less financially empowered customer segment, mobile money agent credibility provides the needed impetus for the continuous usage of mobile money services.",Africa; Continuous usage; Empowerment; Mobile money agent; Mobile money technology; Stimulus-organism-response theory,2023,162,10.1016/j.techfore.2022.122158,Shaikh A.A.,Technological Forecasting and Social Change,2-s2.0-85141892993
How does fintech influence carbon emissions: Evidence from China's prefecture-level cities,"We investigate how fintech development affects carbon emissions using the panel data of 253 prefecture-level cities in China from 2011 to 2019. We employ the city-level digital financial inclusion index to gauge the fintech development and identify the impact mechanisms through which fintech affects the city's carbon emissions. Our results show that fintech can significantly reduce carbon emissions, and this conclusion still holds when considering potential endogeneity, when considering the impact of resource endowment, when using alternative measures of carbon emissions, even after removing the impact of low-carbon pilot cities policy, and after winsorization treatment. We further find that the main mechanisms by which fintech affects carbon emissions are industrial structure, financing constraints, and green technology innovation. Our results provide powerful evidence that fintech positively impacts the real economy, offering more confidence and reason to stimulate fintech development.",Carbon emissions; Financing constraints; Fintech; Green technology innovation; Industrial structure,2023,150,10.1016/j.irfa.2023.102655,Cheng X.,International Review of Financial Analysis,2-s2.0-85151756826
Fintech Adoption Drivers for Innovation for SMEs in Indonesia,"The rapid evolution of technology and a large number of smartphone users are transforming the way the masses access financial services. Fintech companies consistently innovate in developing customized products and services for users and SMEs to increase financial access and inclusiveness to achieve the Indonesian national financial inclusion target of 90 percent by 2024. Access to digital financial products via Fintech contributes to greater financial inclusion for SMEs, particularly during the COVID-19 pandemic, which restricted economic activities. Using an extended TAM model, this study explores the driving factors of Fintech adoption for Indonesian SMEs during the COVID-19 outbreak. Data analysis of 415 respondents was conducted utilizing Smart-PLS 3.0 software. The findings confirm perceived usefulness, perceived ease of use, government support, trust, and user innovativeness to have a direct positive effect on the intention of SMEs to adopt Fintech. The result also reveals that financial literacy indirectly correlates with Fintech adoption mediated by user innovativeness. This indicates that Fintech could contribute to bridging financial inclusion where SMEs with lower financial literacy can utilize financial products and services via Fintech. This is a positive contribution of Fintech for SMEs in developing economies. The present study suggests that policymakers could foster the expansion of Fintech business infrastructure to improve access to SME financial services.",digitization in finance; extended TAM; Indonesian SMEs; SME Innovativeness; Sustainable Development Goals 10,2022,147,10.3390/joitmc8040208,Nugraha D.P.,Journal of Open Innovation Technology Market and Complexity,2-s2.0-85144720598
"Understanding China’s fintech sector: development, impacts and risks","Financial technology (fintech) is rapidly transforming the economy as well as the financial landscape in China. This paper attempts to shed light on its contributing factors, current state, economic impacts and potential risks. We identify three key drivers for China’s fintech development, namely shortage of supply in formal financial market, strong government support for promoting financial inclusion through digital technology, and more ‘tolerant’ regulatory environment. The greatest value of the Chinese fintech sector is promotion of financial inclusion, enabling a vast number of small- and medium-sized enterprises (SMEs) and low-income households to access to financial services. Existing studies unveil some strong evidences of fintech development improving efficiency, increasing employment and supporting entrepreneurship. In the meantime, there are also serious challenges facing this sector, such as regulatory uncertainties, illegal transactions, data abuse, etc. We conclude the paper by presenting some key takeaways, including several lessons for financial regulation.",China; financial inclusion; financial stability; Financial technology,2021,146,10.1080/1351847X.2020.1811131,Hua X.,European Journal of Finance,2-s2.0-85089904960
Fintech-based Financial Inclusion and Risk-taking of Microfinance Institutions (MFIs): Evidence from Sub-Saharan Africa,"Fintech innovations are rapidly transforming the global financial industry and easing the financial inclusion initiatives of microfinance institutions (MFIs). Such technological transformations are expected to promote stability in the financial system and in turn reduce the risk-taking behavior of its main actors. However, there is limited or no empirical evidence to confirm the impact of fintech-based financial inclusion (FinFI) on the risk-taking behavior of Sub-Saharan African MFIs. Thus, we have developed a new index to measure FinFI and empirically assess its role in reducing the risk-taking attitude of MFIs. The validity of our results was confirmed by using various robustness tests.",financial inclusion; Financial technology; fintech-based financial inclusion; microfinance institutions; risk-taking behavior; Sub-Saharan Africa,2022,143,10.1016/j.frl.2021.102149,Banna H.,Finance Research Letters,2-s2.0-85107147974
