Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
How gamification marketing activities motivate desirable consumer behaviors: Focusing on the role of brand love,"Gamification is increasingly applied as a design strategy when improving various behavioral outcomes in the online retailing domain. Understanding the attributes of gamification marketing activities (GMAs) is critical for successful gamification, but perceived experience derived from the attributes of GMAs and its influence on desirable consumer behaviors have not been addressed so far in gamified online retailing studies. Thus, this paper aims to examine the relationships among GMAs’ experience, value, satisfaction, brand love, and desirable consumer behaviors. To test these relationships in the research model, we developed a study using a sample of 242 online bookstore customers, and found that the experience of GMAs has a significant and positive effect on hedonic value and utilitarian value. The findings also confirm that hedonic value and utilitarian value significantly affect satisfaction and brand love. Finally, our results confirm that satisfaction has a significant and positive effect on brand love, and in turn, on desirable consumer behaviors (i.e., brand loyalty, positive word-of-mouth, and resistance to negative information). The findings of this study can permit online retailing companies to predict the future behaviors of their customers more exactly and guide their management of assets and gamification marketing activities.",Brand love; Desirable consumer behaviors; Gamification marketing; Value,2018,290,10.1016/j.chb.2018.06.037,Hsu C.L.,Computers in Human Behavior,2-s2.0-85049883828
Tourists as Mobile Gamers: Gamification for Tourism Marketing,"ABSTRACT: Gaming as a cutting-edge concept has recently been used by some innovative tourism sectors as a marketing tool and as a method of deeper engagement with visitors. This research aims to explore the gamification trend and its potential for experience development and tourism marketing. Using a focus group, this paper discusses gaming and tourism, and explores what drives tourists to play games. The results suggest tourists’ game playing motivation is multidimensional. Players tend to start with purposive information seeking, then move on to an intrinsic stimulation. Socialization is also an important dimension. The research demonstrates several implications for tourism marketing.",game motivation; game-based marketing; gamification; Mobile games; tourist players,2016,240,10.1080/10548408.2015.1093999,Xu F.,Journal of Travel and Tourism Marketing,2-s2.0-84945390001
"Gamification and e-learning for young learners: A systematic literature review, bibliometric analysis, and future research agenda","Over the last few years, gamification has sparked significant interest in both industry and academia. However, the focus of the debate has been mostly on game studies and human-computer interaction (HCI). Even though games are increasingly being supplied as services to customers, few academic works have linked game studies to the service or marketing literature (Dikcius and Urbonavicius, 2020; Dukembay and Zhaksylyk, 2019). This paper presents an examination of the emerging trends of gamification and e-learning for young learners. The first section presents a text-based cluster bibliometric analysis based on 222 qualified articles published between 2015 and 2020. We conducted this analysis to identify the most prominent themes in the literature through cluster identification via the VOS viewer software. As the themes were found to be interlinked, the second section presents a systematic literature review based on a bibliometric analysis performed using the PRISMA method on 32 qualified articles. The findings highlighted the four major future research themes of personalization, game elements, learner styles, and learner engagement. Finally, we provide a future research agenda based on the theory, characteristics, context, and methodology (TCCM) framework. Our findings offer key insights aimed at enabling actors in education policy making and gamification-based software companies and agencies to identify the gamification techniques best suited for e-learning.",Bibliometric analysis; E-learning; Future research agenda; Gamification; Systematic review; Young learners,2022,212,10.1016/j.techfore.2021.121445,Behl A.,Technological Forecasting and Social Change,2-s2.0-85121964427
The impact of gamification adoption intention on brand awareness and loyalty in tourism: The mediating effect of customer engagement,"Gamification has been used by tourism organisations for marketing purposes to reinforce customer engagement and to achieve brand awareness and loyalty. The current study, using the Unified Theory of Acceptance and Use of Technology, aims to investigate the antecedents and consequences of gamification's adoption intention by tourist organisations, and to examine the mediation effect of customer engagement. A quantitative method was employed using a survey to collect data from a random sample of relevant managers in travel agencies. Using structural equation modelling for data analysis, the findings revealed that tourism organisations have positive intentions to adopt gamification to increase customer engagement and to achieve tourist destinations' brand awareness and loyalty. Implications, limitations, and future research are also addressed.",Brand awareness; Brand loyalty; Customer engagement; Egypt; Gamification; Travel agencies,2021,211,10.1016/j.jdmm.2021.100559,Abou-Shouk M.,Journal of Destination Marketing and Management,2-s2.0-85099626451
"Treasure Hunting for Brands: Metaverse Marketing Gamification Effects on Purchase Intention, WOM, and Loyalty","This study explores the impact of Metaverse Gamified Marketing Activities (MGMA) on Positive Word-of-Mouth (PWOM) intention, purchase intention, and brand loyalty within the metaverse. Drawing from an online survey involving 516 consumers based in the UK, the empirical evidence demonstrates that MGMA has a favorable influence on brand satisfaction, hedonic value, utilitarian value, and engagement. Moreover, the results show that brand satisfaction, hedonic value, utilitarian value, and engagement all positively influence brand love. Furthermore, PWOM, purchase intention, and brand loyalty are positively influenced by brand love. From a theoretical perspective, this study extends the theoretical application of the Stimulus-Organism-Response (S-O-R) model to encompass interactive virtual brand experiences, thereby establishing a foundation for the development of S-O-R frameworks that incorporate the immersive characteristics of metaverse environments. Within the S-O-R model, our findings highlight how metaverse marketing influences brand PWOM, purchase intention, and loyalty, advancing its application in metaverse-gamified marketing.",brand love; engagement; gamified marketing; Metaverse; utilitarian value,2025,166,10.1080/08911762.2025.2463897,Al-Adwan A.S.,Journal of Global Marketing,2-s2.0-85219725604
Gamification in Education,"Gamification, or gameful design, refers to the strategic application of game design principles, mechanics, and elements into non-game environments. It is often facilitated using digital platforms, aiming to solve problems, increase engagement, and motivate individuals towards their goals. The technique fosters a gameful and interactive experience, enhancing perceived autonomy, competence, and relatedness among users. With roots in fields like education, business, marketing, and services, gamification is a versatile tool that serves to enrich user experience and create value in a multitude of settings. The widespread impact of gamification across various sectors has transformed traditional methods of engagement, notably in education.",education; engagement; gamification; metaverse; mixed reality; motivation; serious games,2023,164,10.3390/encyclopedia3040089,Christopoulos A.,Encyclopedia,2-s2.0-105014625016
Playing seriously - How gamification and social cues influence bank customers to use gamified e-business applications,"The development of business applications with game features has given rise to a new trend called gamification and challenged e-banking to introduce new game elements, such as mechanics and social cues, to its traditional applications. Yet, there has been a lack of empirical evidence regarding the intention to use, these type of applications and their possible impacts on business. Here, we explore the role of gamification, socialness, and other four well-known variables (ease-of-use, usefulness, enjoyment, and intention to use) in a gamified business application and corresponding business. We proposed and evaluated a model based on the Technology Acceptance Model to better analyze and understand the adoption of gamified business applications. To test this model, we developed a study using a sample of 183 bank customers, and we found that gamification significantly improved the customer's sense of social interaction, which, in turn, strongly influenced the customer's intention to use the applications. We argue that this intention to use could provide a strong benefit to the business, in term of increased customer engagement. This paper presents a new conceptual model to predict behavioral intention in regards to gamification in e-banking, illustrating seven variables that affect the adoption of e-banking by bank customers. Our findings contribute overall to a better understanding of gamification in e-banking (with the extension of Technology Acceptance Model theories, and the new variable gamification), providing important practical implications for software development and marketing practices.",E-banking; E-business; Ease-of-use; Enjoyment; Gamification; Intention to use; Socialness; Usefulness,2016,162,10.1016/j.chb.2016.05.063,Rodrigues L.F.,Computers in Human Behavior,2-s2.0-84974625199
‘Go with the flow’ for gamification and sustainability marketing,"This paper explores the potential of gamification for sustainability marketing efforts, examining users’ experiences with a gamified app designed to encourage the sustainable energy behavior of turning off electricity switches. Using data collected from 387 participants who partook in a week-long field study using a gamified app, we analyze the interrelationships between flow, customer engagement, value-in behavior, and intentions to perform sustainable behavior and continue use of a gamified app. We show how consumers’ gameful experiences via flow enhance engagement with a gamified app, and how this results in enhancing the perceptions of value in performing a sustainable energy behavior. Further, we evidence how the value-in-behavior created by a gamified app not only influence behavioral intentions to perform a sustainable energy behavior, but also intentions to continue using the gamified app. These results provide important theoretical and practical insights as to the potential for gamification to be used for sustainability marketing and how gameful experiences (flow and customer engagement) can transfer to positive perceptions of sustainable behavior (value-in-behavior).",Customer engagement; Flow; Gamification; Sustainability; Value-in-behavior,2021,154,10.1016/j.ijinfomgt.2020.102305,Whittaker L.,International Journal of Information Management,2-s2.0-85099631077
The effects of gamified customer benefits and characteristics on behavioral engagement and purchase: Evidence from mobile exercise application uses,"This study investigates how gamified customer benefits (epistemic, social integrative, and personal integrative) and customer characteristics (age and experience) influence marketing outcomes, behavioral engagement and purchase, in exercise context. Using a unique data set of exercise and purchase history created by 5072 smartphone users over three years in South Korea, this study finds that although all three customer benefits are positively associated with marketing outcomes, personal and social integrative benefits are the best predictors for engagement and purchase, respectively. Furthermore, the effects of gamified customer benefits on marketing outcomes vary by age and experience, showing the importance of epistemic and personal integrative benefits to older and less experienced customers and social integrative benefits to younger and experienced customers. This study not only explores the long-term effects of gamification on behavioral outcomes but also examines the feasibility of successfully implementing the gamification benefit proposition strategy for superior marketing outcomes.",Customer benefits; Customer characteristics; Engagement; Gamification,2018,150,10.1016/j.jbusres.2018.07.056,Jang S.,Journal of Business Research,2-s2.0-85051023573
Creating brand engagement through in-store gamified customer experiences,"The purpose of this study is to understand how gamification contributes to customers’ value creation in a retail context and how this value creation relates to brand engagement. The study builds on a field experiment using a two-group between-subjects design combined with correlational research. The experiment involved 378 participants recruited at a major European sports retailer. Participants were exposed to one of two conditions: one with a gamified activity in a store, and one in which the participants performed the same activity without being exposed to any game elements. The findings show that gamification affects the hedonic value of an activity and that this effect can be partly explained by positive affect. When this hedonic value was compared to the satisfaction with a reward, the hedonic value was found to be a better predictor of continued engagement intention. Finally, gamification through continued engagement intention is positively associated with brand engagement.",Brand engagement; Customer experience; Field experiment; Gamification; Retail,2019,136,10.1016/j.jretconser.2019.05.006,Högberg J.,Journal of Retailing and Consumer Services,2-s2.0-85065402234
Designing gamified apps for sustainable consumption: A field study,"This research tests the effectiveness of a social marketing field study on sustainable consumption conducted by energy companies on real customers. The study uses a gamified app to encourage sustainable household energy usage. We analyze app usage, survey, and energy bills data to demonstrate the impact of specific game design elements on customers' perceived enjoyment and knowledge, and their behavioral intentions regarding sustainable consumption. We show the gamified app influences energy saving behaviors and word-of-mouth, and results in significant monetary savings compared to a control group. These are exciting results that provide novel insights and help support the potential of gamified apps for businesses and consumers.",Energy; Gamification; Gamified app; Serious games; Social marketing; Sustainability; Sustainable consumption; Usage data,2020,136,10.1016/j.jbusres.2018.10.026,Mulcahy R.,Journal of Business Research,2-s2.0-85054789545
Main gamification concepts: A systematic mapping study,"Gamification involves incorporating elements of online games, such as points, leaderboards, and badges into non-game contexts, in order to improve engagement with both employees and consumers. The main point of this paper is, to sum up, what previous authors investigated in the field of Gamification. An analysis of the literature covering 50 papers from 2011 to 2016 was conducted, using Leximancer software, to determine and shape the main themes and concepts proposed in gamification papers. Answering our research question, “What guidelines may provide to future research, the key themes and concepts found in published scientific papers on gamification?”, we conclude that the researchers identified eight themes (gamification; game; use; users; business; points; engagement; learning) and twenty-eight related concepts. The present systematic review contributes to establishing possible guidelines for prospective studies, based on the analyzed papers, considering particularly their 'Conclusions' and on the 'Future research' sections, integrating game design contents in business, learning and education. Further, highlights the usefulness of Leximancer for qualitative content analysis, in this field of research.",Business; Business; Computer science; Consumers; Education; Gamification; Information science; Leximancer; Marketing; Qualitative methods; Semantic analysis; Software development,2019,128,10.1016/j.heliyon.2019.e01993,Rodrigues L.F.,Heliyon,2-s2.0-85068969468
Gamification as a platform for brand co-creation experiences,"This study is aimed at establishing a connection between brand gamified experiences and brand value co-creation, based on a literature review and insights from exploratory research. Consumers' motivations to get involved with gamified experiences and their impact on consumer engagement and brand experience are analyzed. Simultaneously, the study explores the motivations that drive firms to implement gamified systems with consequences for brand value co-creation. Seven managers and marketing professionals were interviewed through semi-structured interviews, and two focus groups were performed to collect primary information on consumers' perceptions and motivations. Results suggest that gamification offers a platform for the development of brand engagement and relationship enhancement, through entertainment, challenges, continuous experiences, and brand involvement. Consumers seek gamified systems that provide them with fun, rewards, competition, social interactions and recognition, customization, and sense of community. Gamification also allows firms to collect spontaneous and valuable data on consumers' opinions and interactions. In sum, gamification can be seen as an innovative branding tool to promote consumer interaction and participation in brand co-creation experiences, all of which is essential to managing brand-based innovation.",Brand experience; Brand value co-creation; Consumer engagement; Gamification; Innovative brand management,2017,126,10.1057/s41262-017-0055-3,Nobre H.,Journal of Brand Management,2-s2.0-85019702006
Game on! A state-of-the-art overview of doing business with gamification,"Gamification is the act of applying game-design elements to transform activities, products, services, and systems in a way that provides the kind of experiences similar to those offered by games. These elements include badges, points, and leaderboards to motivate and reward problem solving activities and processes. Both businesses and business researchers are increasingly interested in the application of gamification. In this regard, this review aims to offer a state-of-the-art overview of gamification in business, revealing its current trends and future directions. Using business research on gamification published in the last decade (2012–2022) found on Scopus and Web of Science, we conduct a performance analysis to illuminate the field's performance (publication productivity and impact) alongside its key contributors (journals, authors, and countries) as well as a science mapping using a co-citation analysis to locate knowledge foundations, and bibliographic coupling and keyword co-occurrence analysis to reveal major themes in business gamification. Our exploration has unearthed gamification's pervasive influence across business domains, from enhancing learning and fostering innovation to empowering marketing strategies and catalyzing transformation. Gamification has also made significant inroads into management practices, driving engagement, influencing behavioral outcomes, and ushering sustainability. Peering into the future, our density-centrality quadrant analysis casts light on emerging frontiers. Noteworthily, we expect the next wave of gamification to be shaped by the allure of video games and the metaverse, bespoke industry-specific designs, confluence with e-commerce trends, emphasis on sustainable development, expanded social responsibilities, innovations in virtual reality, intersections with human urbanism, and the rise of smart cities. As gamification continues to integrate and reshape myriad facets of the business world, it holds the promise of not only enriching current practices but also charting the course for the future of innovative, sustainable, and transformative business strategies.",Bibliometric analysis; Business; Gamification; Review,2024,120,10.1016/j.techfore.2023.122988,Sharma W.,Technological Forecasting and Social Change,2-s2.0-85177889288
Gamification in engineering education and professional training,"The incorporation of game mechanics and dynamics in non-gaming applications is a subject of interest in various sectors such as education, marketing, medicine and military, in the last few years. It is believed that engineering education in a pre-graduate level and in professional practice will bring high pay-offs. The role of the academia is to develop new methodologies and tools to produce, apply and use digital games and gamification techniques in contemporary industry and present scientific evidence on the value and the benefits derived from this technology. In this paper, the relative literature is evaluated and a discussion on the gamification status today is given, by examining various aspects of this novel term. Furthermore, game techniques, gamification practices in education and e-learning are considered. Special discussion on engineering games, gamification platforms and empirical surveys is presented with focus on manufacturing.",education; Gamification; manufacturing; serious games; training,2015,119,10.1177/0306419015591324,Markopoulos A.P.,International Journal of Mechanical Engineering Education,2-s2.0-84937548057
Experiences that matter? The motivational experiences and business outcomes of gamified services,"Digital service providers are increasingly “gamifying” their services (i.e., enriching non-game services with game elements) to foster additional user value in terms of specific user experiences. Understanding how such experiences of gamified services influence business outcomes is critical. Drawing on service-dominant logic and self-determination theory, this research examines the impact of motivational user experiences (self-development, social connectedness, expressive freedom, and social comparison) on firm-beneficial behavior. Findings from a cross-contextual study reveal that motivational experiences increase these outcomes to different extents. Among the experiences examined, self-development has the strongest effect on business outcomes. Importantly, some experiences interact in a way that negatively affects those outcomes. For instance, the interplay between social comparison and social connectedness or expressive freedom is dysfunctional and impairs firm-beneficial user behavior. The study's results help service providers to prioritize those experiences that matter most for their business goals.",Firm-beneficial behavior; Gamification; Gamified services; Motivational experiences; Self-determination theory; Service marketing,2020,117,10.1016/j.jbusres.2018.12.058,Wolf T.,Journal of Business Research,2-s2.0-85059841937
Catch them all and increase your place attachment! The role of location-based augmented reality games in changing people - place relations,"We examined how playing a game employing augmented reality (AR) technology increases attachment to the place of playing. Place attachment refers to the relationship between people and places, which has numerous benefits for individual well-being. Popular location-based AR games often include elements that are known to predict place attachment: exploration, social relations or the experience of enjoyment in a place. We argue that positive emotions triggered by playing can influence players’ place attachment via the process of gamification. We tested this hypothesis in a correlational study conducted among Pokémon Go players. Our analyses showed that satisfaction from playing and the social relations made during play positively predict place attachment, but the amount of time spent on playing does not. A series of mediation analyses showed that relations among game satisfaction, social relations, and place attachment were mediated by the appraisal of the place as exciting. This study demonstrated a mechanism of emotional transfer between positive experiences from playing and place attachment, which may prove useful in other domains, such as education, land conservation, or marketing.",Augmented reality; Gamification; Location-based AR games; Place attachment; Pokémon Go,2017,115,10.1016/j.chb.2017.06.008,Oleksy T.,Computers in Human Behavior,2-s2.0-85020705107
The gamification of in-game advertising: Examining the role of psychological ownership and advertisement intrusiveness,"Gamification on the mobile platform through the concept of online games has the potential to create unprecedented engagement with customers. With the growth in the gamification market due to the increase in internet penetration and the number of mobile devices, it has become one of the potential channels to reach and influence young consumers who spend more time on gaming. There is a shortage of empirical evidence on the impact of gamification on online consumer decisions. This study uses ‘psychological ownership theory’ and ‘schema theory’ to examine the effects of gameful experience (GFUL) on the attitudes of online gamers (N = 326). Data were analyzed using AMOS 25 and Process Macro for SPSS. The analytical results indicated that GFUL is mediated through both the intervening variables (perceived in-game advertisement effectiveness and psychological ownership), which positively influence gamers’ attitudes towards the game and in-game advertising. Further, the study investigated the impact of in-game advertisement intrusiveness. Based on the research findings, this study proposed the theoretical and managerial implications.",Advertisement intrusiveness; Gameful experience; Gamification; In-game advertising; Psychological ownership theory; Schema theory,2021,114,10.1016/j.ijinfomgt.2020.102245,Mishra S.,International Journal of Information Management,2-s2.0-85092011950
Can gamification improve financial behavior? The moderating role of app expertise,"Purpose: The purpose of this paper is to explore potential benefits of gamification (application of game-playing elements) for financial well-being and motivation to save. Design/methodology/approach: A preliminary survey of college students explored how gamification principles incorporated into money-savings/personal finance smartphone apps could improve financial well-being. The main study utilized Mechanical Turk participants, exposing them to financial game app descriptions that emphasized social features (e.g. leaderboards and ability to share achievements) or economic features (e.g. ability to earn real money or a higher interest rate). Objective and subjective financial measures including expertise with financial apps, perceived benefits of financial apps and behavioral intentions were examined. Findings: Financial worry, financial literacy, subjective knowledge and expertise with money-savings/financial applications predicted financial well-being. Additionally, consumers varied in their preferences for certain financial game app features based on past financial app experience. Those who already used a financial app tend to exhibit higher subjective (though not objective) knowledge, and want both “social” and “economic” features of financial applications, whereas those with no experience are more motivated by economic features. Practical implications: These results could be used to guide game designers regarding which features may be more attractive to consumers depending on their prior expertise with financial smartphone applications. Financial services marketing would benefit from further research into whether smartphone financial applications that emphasize social features have benefits for consumers’ motivation and financial well-being. Originality/value: Examining college students about to enter the real world and the general population, this project contributes to research to improve understanding of financial well-being by examining how already having a financial gamification application impacts perceptions of knowledge and expertise, as well as intentions to save given a more socially focused vs economically focused savings app. Additional research needs to further explore gamification as an experimental intervention to ultimately improve both subjective financial well-being and objective financial behaviors, especially for consumers with lower expertise and high risk of financial vulnerability.",Financial literacy; Financial well-being; Gamification; Intervention,2019,105,10.1108/IJBM-04-2018-0086,Bayuk J.,International Journal of Bank Marketing,2-s2.0-85062447127
Gamification and service marketing,"Our paper addresses the development of the gamification concept with business applications. We report on our survey of customers and managers seeking to participate in gamification on their websites. We examined both customer and manager perspectives and compare survey results in terms of service marketing and characteristics of consumers who engage with gamification platforms. Our data supported a design theory delineating four key characteristics in gamification platforms that attract consumers toward an enterprise’s website. Those features attract individuals through (1) Progress Paths, (2) Feedback and Reward, (3) Social Connection, and (4) Attractiveness of the site. Results from the managers’ survey reflected key characteristics that must exist for implementation of a gamification platform. The data revealed a particular demographic profile of a gamification individual drawn to a website. These findings may help company managers who wish to adopt a gamification platform in the future.",Customer service; Gamification; Service business; Technology in business,2014,104,10.1186/2193-1801-3-653,Conaway R.,Springerplus,2-s2.0-84919723190
