Title,Abstract,Author Keywords,Year,Cited by,DOI,Authors,Source title,EID
SMEs and digital transformation during a crisis: The emergence of resilience as a second-order dynamic capability in an entrepreneurial ecosystem,"In this research, we examine how small and medium enterprises (SMEs) build their resilience capability during a crisis, through the adoption of digital technologies. Utilizing a qualitative approach grounded in case studies of eight entrepreneurs from India who had to radically change their business models and operations during the COVID-19 pandemic, we develop a multilevel model of resilience capability: at the micro (entrepreneur), meso (organizational), and macro (entrepreneurial ecosystem) levels. In developing resilience, the SMEs alternate their focus: from concentrating on the core to moving toward the periphery of their organizational boundaries, highlighting a shifting play of the three first-order dynamic capabilities of sensing, seizing, and transforming. By affording SMEs an opportunity to transform themselves by embracing digital technologies, the crisis leads to the emergence of resilience capability as a second-order dynamic capability.",Crisis; Digital technologies; Dynamic capabilities; Entrepreneurial ecosystem; Resilience,2022,373,10.1016/j.jbusres.2022.06.048,Khurana I.,Journal of Business Research,2-s2.0-85132873603
Digital transformation in family-owned Mittelstand firms: A dynamic capabilities perspective,"Digital technologies are increasingly affecting industries worldwide in many ways. Although the adoption of digital technologies by firms has been studied extensively from a technical point of view, previous research lacks insight into the managerial aspects of digital transformation, which, given the transformation’s interdisciplinarity, might have substantial implications for information systems research. In particular, it is unclear how small and medium-sized family-controlled firms (known as family-owned Mittelstand firms) with resource constraints handle digital transformation. This paper addresses this gap by drawing on rich data from 127 semi-structured interviews in a multiple case study of 15 family-owned Mittelstand firms from Germany, Austria, and Switzerland. All of these firms are active in the manufacturing industry but vary in terms of their digital transformation progress. Based on within-case and cross-case pattern analysis, we propose that the digital transformation of Mittelstand firms is a process consisting of three stages, namely, process digitalisation, product and service digitalisation, and business model digitalisation, and we reveal triggers for each stage and the dynamic capabilities needed throughout this process. Moreover, we identify three combinations of enablers and barriers that support or hinder the development of dynamic capabilities and thus accelerate or impede the advancement of the digital transformation process.",digital innovation; Digital transformation; dynamic capabilities; family business; Mittelstand firms; Pär Ågerfalk; Ryad Titah; SMEs; technology adoption,2021,372,10.1080/0960085X.2020.1857666,Soluk J.,European Journal of Information Systems,2-s2.0-85099577908
"Literature review on digitalization capabilities: Co-citation analysis of antecedents, conceptualization and consequences","Recent decades have witnessed increased number of studies focusing on digitalization and related capabilities. Across disciplines digitalization capability is viewed as a sources of sustained competiveness. Nonetheless, several issues related to conceptualizing digitalization capabilities remain ambivalent. The present study, uses co-citation analysis to clarify concept of digitalization capability and identify three underlining capabilities, namely digital integration capabilities, digital platform capabilities, and digital innovation capabilities, that represents micro-foundation of digitalization capabilities. Further, a capability-based model is developed which includes antecedents and consequences of digitalization capabilities in an integrated conceptual model. Suggestions for future research, theoretical contributions and managerial contributions are also presented.",Capabilities; Digital transformation; Digitalization; Dynamic capabilities; Industry 4.0,2021,365,10.1016/j.techfore.2021.120635,Annarelli A.,Technological Forecasting and Social Change,2-s2.0-85100665923
Dynamic capabilities for digital transformation,"Purpose: The purpose of this paper is to identify sensing, seizing and reconfiguring routines of dynamic capabilities that enable digital transformation in firms. Design/methodology/approach: A qualitative approach is used. Representatives from a firm going through digital transformations are interviewed, and focus groups have been carried out with a consultancy firm experienced in giving advice to firms going through digital transformation. Findings: Six routines identified as relevant specifically for digital transformation are identified. These are cross-industrial digital sensing, inside-out digital infrastructure sensing, digital strategy development, determination of enterprise boundaries, decomposition of digital transformation into specified projects and creation of a unified digital infrastructure. Practical implications: The authors provide direction for managers on how to approach digital transformation. In relation to previous research, the authors provide more specific guidance regarding how to reconfigure the organization in digital transformation. Originality/value: The paper uses a novel context for digital transformation and complements the very few studies available using dynamic capabilities to understand digital transformation.",Digital transformation; Digitalization; Dynamic capabilities; Innovation; Qualitative research; Routines; Technology,2022,338,10.1108/JSMA-04-2021-0089,Ellström D.,Journal of Strategy and Management,2-s2.0-85115102396
Digital transformation and European small and medium enterprises (SMEs): A comparative study using digital economy and society index data,"Digital transformation is profoundly transforming SMEs' business activities, bringing about comparative advantages and associated risks. Previous studies on digital transformation and SMEs focus on technology adoption, innovation, new value creation, and dynamic capabilities. However, it is unclear how digital technology affects SMEs' specific business activities. We study SMEs' customer access, increasing competition, external funding or access to finance, rising input costs, skilled labor shortages, exogenous shocks, global crises, and regulatory issues. This study aims to fill the literature gap by exploring the impact of digital technology, using digital economy and society index (DESI) as proxies for the SME issues. We use DESI and SME data from a survey on European enterprises’ access to finance. We find that digital transformation strengthens SMEs' ability and flexibility to address main business issues. Furthermore, findings reveal that digitally transformed SMEs have fewer concerns about access to new and traditional customers, competition changes, access to finance, increasing input costs, external shocks, and regulatory changes. However, digital transformation also brings risks, such as the shortage of skilled labor and experienced managers and loss of inherent competitiveness. The novelty of our work lies in supplying quantitative knowledge on the link between digital transformation and European SMEs' critical business concerns. These findings substantially increase our understanding of the impact of digital change on European SMEs' business activities.",Digital economy and society index; Digital transformation; European survey on access to finance of enterprises; European Union; Panel random-effect model; SMEs,2023,331,10.1016/j.ijinfomgt.2022.102594,Skare M.,International Journal of Information Management,2-s2.0-85141926403
Procurement 4.0 and its implications on business process performance in a circular economy,"The purpose of this study is to identify how Procurement 4.0 and digital transformations are related and how digital transformation impacts the intention to optimize the procurement process in the circular economy. The moderating effect of information processing capability is also investigated. We survey South African manufacturers and analyze survey results using the Partial Least Squares Structural Equation Modelling (PLS-SEM) approach to test the research hypotheses and our theoretical framework. Finally, a sample business process is simulated to evaluate how Industry 4.0 automation can influence organizational procurement process optimization and circular economy performance. The findings of this empirical study indicate that Procurement 4.0 strategy positively influences buyers’ intention to optimize business processes. Second, Procurement 4.0 performance review positively influences buyers’ intention to optimize business processes. Third, information processing capability moderates the effect of Procurement 4.0 performance review on buyers’ intention to optimize business processes. Finally, buyers’ intention to optimize business processes plays a key role in enhancing circular economy performance. The simulation results demonstrate the potential benefits from industry 4.0 applications in the procurement function in a circular economy.",Business process; Circular economy; Dynamic capability view theory; Optimization; Procurement 4.0,2020,302,10.1016/j.resconrec.2019.104502,Bag S.,Resources Conservation and Recycling,2-s2.0-85072694673
Building digitally-enabled process innovation in the process industries: A dynamic capabilities approach,"Digitalization and industry 4.0 technologies promise to provide many novel opportunities and benefits to industrial firms, such as increased product quality, process reliability, and improved flexibility and productivity. Although digitalization shows great potential from a technological perspective, many process industry firms still face challenges in utilizing it for process innovations. Hence, this study aims to understand how process industry firms develop and implement new process innovations today and identify improvement opportunities through the better adoption and implementation of digitalization. The study adopted a multiple case study design in two steel manufacturing firms and developed a framework for building digitally-enabled process innovation using dynamic capabilities. The framework consists of 19 dynamic capabilities in total: 8 related to traditional process innovation and 11 related to digitally enabled process innovation. The study found four key challenges in process innovation (i.e., poor data strategy and readiness, lack of standardisation practices for change, competence and culture gaps, and ad-hoc problem solving) and four key enablers for digitally-enabled process innovation (i.e., infrastructure and methodological definition, preparation for predictive and analytical readiness, proactive management practices, and plan for a digital matureness for each function and department). The study's detailed empirical insights provide new understandings regarding required dynamic capabilities for the smoother transformation of a firm from the traditional process innovation to the digitally enabled process innovation. The dynamic capabilities are limitedly explored in the research of the process industries in the context of process innovation and digitalization. Thus, this study makes essential contributions to the theory of process innovation in process industries and strategic management by providing rich empirical insights from the steel sector.",Digital process innovation; Digital transformation; Digitalization; Industry 4.0; Microfoundations; Process development; Production system development; Smart factory; Steel industry,2021,277,10.1016/j.technovation.2021.102256,Chirumalla K.,Technovation,2-s2.0-85103963512
Analyzing the mediating role of organizational ambidexterity and digital business transformation on industry 4.0 capabilities and sustainable supply chain performance,"Purpose: Despite the growing awareness of supply chains on industry 4.0 (I4.0) capabilities as the enabler of sustainable performance, little is known about what accelerates this interaction. Prior studies have focused on the ambidexterity dilemma and the need to adopt sustainable inter-organizational governance to drive I4.0 capabilities while achieving sustainable performance. To address these issues, this paper aims to explore the distinct and combined effects of several approaches such as digital business transformation (DBT), organizational ambidexterity (OA) and circular business models (CBMs) on the relationship between I4.0 capabilities and sustainable performance. Design/methodology/approach: Drawing upon a hybrid methodology including structural equation modeling and fuzzy set qualitative comparative analysis, this paper develops and tests a hypothetical model using data collected from 306 organizations in Europe, Asia and Africa. Findings: The study findings lead to several important implications concerning the potential paths linking I4.0 and sustainable performance. Notably, the DBT was found to mediate this relationship by integrating circular principles to devise business models. Moreover, OA was found to substitute the CBMs in developing new sustainable business models and reconcile sustainability. Originality/value: The study is among the first to analyze the combined effects of OA, DBT and CBMs on the relationship between I4.0 capabilities and sustainable performance at the supply chain level. Moreover, the findings propose several solutions to resolve the sustainability dilemma through I4.0 capabilities, DBT, OA and CBMs.",Circular economy; Digital transformation; Dynamic capabilities; Fuzzy set qualitative comparative analysis; Industry 4.0; Innovation; Organizational ambidexterity; SCM performance; Structural equation modeling; Supply chain sustainable performance; Supply-chain management; Sustainability; Technology,2022,252,10.1108/SCM-04-2021-0152,Belhadi A.,Supply Chain Management,2-s2.0-85109400497
Digital workplace and organization performance: Moderating role of digital leadership capability,"Since the onset of the COVID-19 pandemic, many organizations have permitted their employees to work from anywhere, giving rise to the phenomenon of the digital workplace, which enables employees to do their work by connecting, communicating, and collaborating with other employees. Organizations’ dynamic capabilities play a major role in enabling this transformation of the workplace. As the situation is so recent, there is considerable interest amongst researchers, practitioners, academicians, and policymakers to understand the role of organizations’ dynamic capability in digital transformation of the workplace, as well as the role of digital leadership in improving organization performance and enabling the digital transformation process to happen. Therefore, this study investigates the influence of digital workplace on organization performance and the moderating role of digital leadership capability in digitally transforming the workplace. We developed a research model from our review of the literature review and dynamic capability view (DCV) theory, and then we validated it using the PLS-SEM technique on a sample of 335 respondents from different types of organizations that have embarked on the digital transformation journey. The study finds that the dynamic capabilities of organizations have a significant and positive influence on the digital transformation of the workplace, which in turn improves the employees’ work-life balance resulting better employee performance and superior organization performance. The study also highlights the significant role that digital leadership plays in the digital transformation of the workplace.",Digital leadership; Digital workplace; Dynamic capability; Innovation; IT capability; Organization performance; Policy; Work-life balance,2023,251,10.1016/j.jik.2023.100334,Chatterjee S.,Journal of Innovation and Knowledge,2-s2.0-85147268764
Mastering the digital transformation through organizational capabilities: A conceptual framework,"As digital transformation is changing entire industries, organizations are struggling to keep up with these changes. Scholars are viewing organizational capabilities as a central mean for organizations to master digital transformation. Based on a comprehensive literature review, this study identifies a broad set of relevant organizational capabilities and introduces a conceptual framework in which organizational capabilities are clustered into seven relevant themes for managing digital transformation. These capabilities are then embedded in the logic of the dynamic capability theory, highlighting the development of organizational capabilities throughout the digital transformation process. The results reveal that a differentiated perspective on the digital transformation process is beneficial to account for changing needs of organizational capabilities during the transformation process. Just as organizations themselves change during the process, various capabilities at different time points are needed to support and enable organizations during digital transformation. The developed conceptual framework gives organizations guidance for the development of organizational capabilities throughout the digital transformation process.",Conceptual framework; Digital transformation; Dynamic capabilities; Organizational capabilities,2022,245,10.1016/j.digbus.2021.100019,Konopik J.,Digital Business,2-s2.0-85155450906
Digital transformation and low-carbon technology innovation in manufacturing firms: The mediating role of dynamic capabilities,"Green challenges such as global warming call for deeper low-carbon technology changes in manufacturing firms, and digital transformation (DT) may play a major role. Most existing studies have investigated the impact of DT as a whole on green technology innovation but lack a dynamic mechanism analysis from a process perspective. Therefore, this article proposes a theoretical framework for multistage DT to drive low-carbon technology innovation (LCTI) in manufacturing firms, which is closely linked to three dynamic capabilities (DCs). Based on the panel data of A-share manufacturing firms in China from 2011 to 2019, this article finds the following. First, DT effectively promotes LCTI, and this effect is a “leverage effect” superimposed on existing innovation. Second, the theoretical mechanism shows that the data analysis, data operation, and data empowerment stages of DT enhance the absorptive capacity, innovation capacity, and adaptive capacity of enterprises, respectively, which in turn promote LCTI. Empirical tests support the mediating effects of the first two capabilities; however, adaptive capacity is validated to be effective only for low-tech firms due to the limited increase in strategic flexibility of high-tech firms by marginal DT enhancement. Third, the heterogeneity analysis shows that the promotion effect of DT on LCTI is stronger for carbon reduction and decarbonization technologies, more significant for low-emission firms, and stronger for firms in the cohort network. These conclusions add new microevidence of the environmental benefits of the digital economy and provide new explanations for opening the “black box” of DT and LCTI based on a process perspective. At the same time, this work can help manufacturing firms in developing countries follow the low-carbon transformation path by independent innovation and, moreover, reduce the originally enormous amounts of energy consumption and carbon emissions of these countries and contribute to the response to global warming and the energy crisis.",Digital transformation; Dynamic capabilities; Low-carbon technology innovation; Manufacturing firms,2023,223,10.1016/j.ijpe.2023.108969,Yang G.,International Journal of Production Economics,2-s2.0-85164242062
The impact of Industry 4.0 on the reconciliation of dynamic capabilities: evidence from the European manufacturing industries,"Industry 4.0 offers massive potential for implementing sustainability, which is a growing concern for global manufacturing industries. This paper investigates the impact of the implementation of Industry 4.0 with specific emphasis on digital transformation on the sustainability dimensions of European manufacturing industries. In doing so, we propose a framework to identify the implications of Industry 4.0 on the reconciliation of the firm’s existing and new dynamic capabilities, competencies, and market requirements to achieve sustainable competitive advantage. Using a multiple case research design, we study six European manufacturing companies, including aerospace manufacturing (AM) and electronic component and systems (ECS) manufacturing. The novelty of our study lies in developing a set of theoretical propositions that reveals interrelations between Industry 4.0, the dynamic capabilities of the firm and distinct dimensions of sustainability. Our findings show that the reconciliation of dynamic capabilities mediates the impact of Industry 4.0 on economic, environmental, and social aspects. The study provides insights to practitioners to strengthen their dynamic capabilities in order to achieve sustainability while implementing Industry 4.0. Moreover, the findings also facilitate investment decisions in Industry 4.0 projects.",case study research; dynamic capabilities; Industry 4.0; manufacturing industry; operations management,2022,209,10.1080/09537287.2020.1810765,Felsberger A.,Production Planning and Control,2-s2.0-85090196242
A study of human resource digital transformation (HRDT): A phenomenon of innovation capability led by digital and individual factors,"Surviving in a digitally disrupted world required organizations to continuously innovate and digitally transform their work practices, especially HR processes. Scholarly failure to define and conceptualize the construct of human resource digital transformation (HRDT) suggests the lack of an integrated approach to understanding HRDT as a discipline. This study presents an overarching and integrated conceptual framework of HRDT, grounded in robust qualitative research, to describe factors in successfully implementing HRDT. Drawing insights from 20 senior HR professionals in multinational organizations, this study defines HRDT as a multidimensional construct resulting from successful integration of digital and individual factors into the innovation capability of organizations. Expanding the dynamic-capabilities perspective, this study proposes that in uncertain and turbulent times, such as COVID-19, businesses must constantly upgrade organizational capabilities, manifested in the innovation capability with enablers such as- digital infrastructure, architecture, and individual capability and creativity. This research further elaborates on HRDT indicators.",COVID-19; Digital architecture; Digital infrastructure; Human resource digital transformation (HRDT); Individual capability and creativity; Innovation capability,2023,142,10.1016/j.jbusres.2022.113611,Bansal A.,Journal of Business Research,2-s2.0-85145367106
Towards SMEs’ digital transformation: The role of agile leadership and strategic flexibility,"Digital transformation in SMEs has become a necessity in the Industrial Revolution 4.0 era. The ASEAN Economic Community will be more established if SMEs are able to take the benefit of information technology advancement in its business process. This research aims to test the role of agile leadership and strategic flexibility to improve digital transformation in SMEs among ASEAN countries. The data from this research were from 539 SMEs in Indonesia and Malaysia as representatives of ASEAN community and tested using Smart PLS 3. A total of 519 usable surveys were collected. Data testing results showed that agile leadership be-comes the key to success in implementing digital transformation. Moreover the strategic flexibility, which comes from workforce transformation and dynamic capability, is also the determining factor in the creation of digital transformation in SMEs. The fast response of the leader followed by strategy flexibility, play a significant role to the success of digital transformation implementation.",Agile leadership; Digital transformation; SMEs; Strategic flexibility; Workforce transformation,2020,142,,Fachrunnisa O.,Journal of Small Business Strategy,2-s2.0-85097440280
"Digital information in maritime supply chains with blockchain and cloud platforms: Supply chain capabilities, barriers, and research opportunities","Digital transformation plays a key role in improving information sharing and information processing in supply chains. Specifically, maritime supply chains require numerous data and document exchanges and can significantly benefit from digital information sharing (DIS). This notable potential has attracted attention and has resulted in a growing number of studies on blockchain platforms, cloud-based platforms, and other digital technology platforms. However, DIS adoption and execution is a complex process as it depends on various success factors and barriers and affects numerous capabilities and performance outcomes. Moreover, various information systems and management theories can be utilised to underpin these relationships. Our study aims to conduct a systematic literature review that uncovers dynamic capabilities, barriers, enablers and outcomes of DIS with blockchain and cloud-based platforms, illustrates the relationship between them, and discloses methods and theories applied in supply chains. We discuss different use cases of blockchain and cloud-based platforms for DIS in various business functions in supply chains. Particularly, we reveal six DIS-powered capabilities, five performance outcomes improved by the DIS, eight main barriers, and nine enablers of DIS implementation. The lack of theoretical underpinning and causal empirical studies is identified as an important gap in the literature. This study also presents precise future research directions that can help address these gaps.",Blockchain technology adoption; Digital platforms; Digital transformation in maritime; Dynamic capabilities; Supply chain 4.0; Systematic literature review,2024,142,10.1016/j.techfore.2023.122978,Surucu-Balci E.,Technological Forecasting and Social Change,2-s2.0-85177587536
‘I digitize so I exist’. Searching for critical capabilities affecting firms’ digital innovation,"Taking into account the increasing importance of digitalization to characterize companies’ competitive advantages, and the contextual growing research interest in digital transformation, this paper focuses on dynamic capabilities affecting firms’ digital innovation in terms of creation of new offerings, processes or solutions by using a wide range of digital technologies. By means of quantitative research on a sample of managers of 210 firms in Italy, the study performs an ordinary least squares regression to investigate whether and how different knowledge-based capabilities support the process to develop digital innovation, taking into consideration the moderating effect of social media. Despite some limitations, essentially due to the geographical focus of the analysis, the paper contributes to better understand the effect of digitalization in the distinguishing context of the Italian companies, providing useful insights to rethink firms’ innovation models.",Digitalization; Innovation; Knowledge; Market-sensing; Social media,2021,141,10.1016/j.jbusres.2021.02.048,Tortora D.,Journal of Business Research,2-s2.0-85102234795
