title,abstract,author_keywords,keywords_normalized,combined_text,year,citations,doi,authors,source,eid,query_distance,rank
Leading the digital transformation: a dynamic capability framework proposal,"Digital transformation has been defined as the capacity of organisations to embed digital technologies in their routines, leading to a change in how they create value for their customers, backed by a rethinking of their whole structure and processes, reshaping their business model. Empirical data and cases reported that just a few companies succeed in digital transformation and go beyond the experimentation and piloting steps. We proposed a framework to generically describe the triggers, enablers, barriers, dynamic capabilities, expected outcomes, and strategic renewal that encompass digital transformation in incumbent organisations. By following a design science research approach, we proposed an artefact demonstrated and evaluated by a group of experts. Our findings revealed that digital transformation is a continuous process of adapting technology and strategy, evolving the business model, building a culture of collaboration, supporting people's development, creating smart governance structures, and connecting deeply with customers.","['design science research', 'digital transformation', 'dynamic capabilities', 'information system strategy']","['design science research', 'digital transformation', 'dynamic capabilities', 'information system strategy']","Leading the digital transformation: a dynamic capability framework proposal Digital transformation has been defined as the capacity of organisations to embed digital technologies in their routines, leading to a change in how they create value for their customers, backed by a rethinking of their whole structure and processes, reshaping their business model. Empirical data and cases reported that just a few companies succeed in digital transformation and go beyond the experimentation and piloting steps. We proposed a framework to generically describe the triggers, enablers, barriers, dynamic capabilities, expected outcomes, and strategic renewal that encompass digital transformation in incumbent organisations. By following a design science research approach, we proposed an artefact demonstrated and evaluated by a group of experts. Our findings revealed that digital transformation is a continuous process of adapting technology and strategy, evolving the business model, building a culture of collaboration, supporting people's development, creating smart governance structures, and connecting deeply with customers.",2023,7,10.1504/ijbis.2023.131354,Albino R.D.,International Journal of Business Information Systems,2-s2.0-85164428343,0.2750503595157823,11
"DIGITAL TRANSFORMATION, ENTERPRISE DYNAMIC CAPABILITIES, AND “BUSINESS MODEL INNOVATION","The concepts of digital transformation and dynamic capabilities have gained significant attention in contemporary times. Chinese enterprises must promptly utilize dynamic capabilities to acquire external resources, knowledge, and skills to enhance their internal capabilities and achieve innovation. This study constructs a theoretical model to examine the influence of digital transformation on business innovation, based on the dynamic capabilities theory. It also explores the mediating role of dynamic capabilities in the relationship between digital transformation and business model innovation. The research model was empirically tested using SEM structural equations on 400 valid enterprise questionnaires. The results indicate that the digital transformation of enterprises has a positive effect on’’ business model innovation’’ and enterprise dynamic capabilities. Furthermore, enterprise dynamic capabilities have a positive impact on “business model innovation.” Moreover, digital transformation has a positive effect on ‘’business model innovation’’ by mediating enterprise dynamic capabilities. At the strategic level, enterprises should prioritize digital awareness, quickly adapt to changes in both internal and external markets, and adjust their business models by emphasizing the optimization of dynamic capabilities.","['Digital Transformation', 'Enterprise Dynamic Capabilities', '“Business Model Innovation”']","['digital transformation', 'enterprise dynamic capabilities', '“business model innovation”']","DIGITAL TRANSFORMATION, ENTERPRISE DYNAMIC CAPABILITIES, AND “BUSINESS MODEL INNOVATION The concepts of digital transformation and dynamic capabilities have gained significant attention in contemporary times. Chinese enterprises must promptly utilize dynamic capabilities to acquire external resources, knowledge, and skills to enhance their internal capabilities and achieve innovation. This study constructs a theoretical model to examine the influence of digital transformation on business innovation, based on the dynamic capabilities theory. It also explores the mediating role of dynamic capabilities in the relationship between digital transformation and business model innovation. The research model was empirically tested using SEM structural equations on 400 valid enterprise questionnaires. The results indicate that the digital transformation of enterprises has a positive effect on’’ business model innovation’’ and enterprise dynamic capabilities. Furthermore, enterprise dynamic capabilities have a positive impact on “business model innovation.” Moreover, digital transformation has a positive effect on ‘’business model innovation’’ by mediating enterprise dynamic capabilities. At the strategic level, enterprises should prioritize digital awareness, quickly adapt to changes in both internal and external markets, and adjust their business models by emphasizing the optimization of dynamic capabilities.",2024,3,10.19255/JMPM3407,Luo X.,Journal of Modern Project Management,2-s2.0-85213479132,0.2755603445262038,12
Boosting SMEs’ digital transformation: the role of dynamic capabilities in cultivating digital leadership and digital culture,"Digital transformation is crucial for the competitiveness of small and medium-sized enterprises (SMEs), yet many SMEs struggle with its implementation. Although digital leadership and digital culture are two established facilitators of digital transformation, their antecedents remain highly understudied. Drawing on the dynamic capabilities framework, we hypothesize that dynamic capabilities promote digital leadership and digital culture in SMEs. Our empirical study builds on questionnaire data from 98 SMEs located in Southern Germany. The findings support the enabling role of dynamic capabilities, indicating that dynamic capabilities enhance digital leadership and digital culture. Contrary to our expectations, the hypothesized mediation effects between dynamic capabilities, digital leadership, and digital culture were not supported, indicating that the translation mechanisms between digital leadership and digital culture might be less direct and straightforward than previously presumed. Thus, dynamic capabilities emerge as critical, yet separate, enablers of digital leadership and digital culture. By positioning dynamic capabilities as antecedents rather than outcomes, this study provides a novel perspective on central enablers of digital transformation, extending dynamic capabilities theory into this context. Overall, our findings offer important implications for facilitating SMEs’ digital transformation, highlighting dynamic capabilities as essential for fostering digital leadership and digital culture. Despite its significance, our study faces some limitations that hinder the generalizability of our findings, including relatively small sample size or specific sample context. Future research should replicate and extend our analyses using larger and more diverse samples.","['Digital culture', 'Digital leadership', 'Digital transformation', 'Dynamic capabilities', 'Small and medium-sized enterprises']","['digital culture', 'digital leadership', 'digital transformation', 'dynamic capabilities', 'small and medium-sized enterprises']","Boosting SMEs’ digital transformation: the role of dynamic capabilities in cultivating digital leadership and digital culture Digital transformation is crucial for the competitiveness of small and medium-sized enterprises (SMEs), yet many SMEs struggle with its implementation. Although digital leadership and digital culture are two established facilitators of digital transformation, their antecedents remain highly understudied. Drawing on the dynamic capabilities framework, we hypothesize that dynamic capabilities promote digital leadership and digital culture in SMEs. Our empirical study builds on questionnaire data from 98 SMEs located in Southern Germany. The findings support the enabling role of dynamic capabilities, indicating that dynamic capabilities enhance digital leadership and digital culture. Contrary to our expectations, the hypothesized mediation effects between dynamic capabilities, digital leadership, and digital culture were not supported, indicating that the translation mechanisms between digital leadership and digital culture might be less direct and straightforward than previously presumed. Thus, dynamic capabilities emerge as critical, yet separate, enablers of digital leadership and digital culture. By positioning dynamic capabilities as antecedents rather than outcomes, this study provides a novel perspective on central enablers of digital transformation, extending dynamic capabilities theory into this context. Overall, our findings offer important implications for facilitating SMEs’ digital transformation, highlighting dynamic capabilities as essential for fostering digital leadership and digital culture. Despite its significance, our study faces some limitations that hinder the generalizability of our findings, including relatively small sample size or specific sample context. Future research should replicate and extend our analyses using larger and more diverse samples.",2026,44,10.1007/s11846-025-00919-5,Held P.,Review of Managerial Science,2-s2.0-105010905406,0.27830510636595496,13
Dynamic capabilities for digital transformation,"Purpose: The purpose of this paper is to identify sensing, seizing and reconfiguring routines of dynamic capabilities that enable digital transformation in firms. Design/methodology/approach: A qualitative approach is used. Representatives from a firm going through digital transformations are interviewed, and focus groups have been carried out with a consultancy firm experienced in giving advice to firms going through digital transformation. Findings: Six routines identified as relevant specifically for digital transformation are identified. These are cross-industrial digital sensing, inside-out digital infrastructure sensing, digital strategy development, determination of enterprise boundaries, decomposition of digital transformation into specified projects and creation of a unified digital infrastructure. Practical implications: The authors provide direction for managers on how to approach digital transformation. In relation to previous research, the authors provide more specific guidance regarding how to reconfigure the organization in digital transformation. Originality/value: The paper uses a novel context for digital transformation and complements the very few studies available using dynamic capabilities to understand digital transformation.","['Digital transformation', 'Digitalization', 'Dynamic capabilities', 'Innovation', 'Qualitative research', 'Routines', 'Technology']","['digital transformation', 'digitalization', 'dynamic capabilities', 'innovation', 'qualitative research', 'routines', 'technology']","Dynamic capabilities for digital transformation Purpose: The purpose of this paper is to identify sensing, seizing and reconfiguring routines of dynamic capabilities that enable digital transformation in firms. Design/methodology/approach: A qualitative approach is used. Representatives from a firm going through digital transformations are interviewed, and focus groups have been carried out with a consultancy firm experienced in giving advice to firms going through digital transformation. Findings: Six routines identified as relevant specifically for digital transformation are identified. These are cross-industrial digital sensing, inside-out digital infrastructure sensing, digital strategy development, determination of enterprise boundaries, decomposition of digital transformation into specified projects and creation of a unified digital infrastructure. Practical implications: The authors provide direction for managers on how to approach digital transformation. In relation to previous research, the authors provide more specific guidance regarding how to reconfigure the organization in digital transformation. Originality/value: The paper uses a novel context for digital transformation and complements the very few studies available using dynamic capabilities to understand digital transformation.",2022,338,10.1108/JSMA-04-2021-0089,Ellström D.,Journal of Strategy and Management,2-s2.0-85115102396,0.27961384861950545,14
Developing dynamic capabilities for successful digital transformation projects: the mediating role of change management,"Digital transformation is a growth strategy that has attracted a significant amount investment and is projected to boost the global economy by 2030. However, organizations face challenges in their efforts to develop effective approaches to digital transformation because of the constant need for new strategic choices. Dynamic capabilities and change management are vital with respect to organizations’ ability to maintain competitiveness in the changing environment established by digital technologies. The effective management of these changes is crucial, and failure is often the result of the absence of a suitable change management model. This study examines the significance of dynamic capabilities in digital transformation and explores the mediating role of a well-defined approach to change management in the context of digital projects. A quantitative research approach is used to investigate a population of 902 managers and team leaders working in the telecommunications sector in Yemen. A questionnaire is developed and administered to a sample of 350 participants, and the data collected were analyzed via SmartPLS. The findings reveal a positive relationship between dynamic capabilities and the successful implementation of digital transformation initiatives. Effective change management techniques facilitate digital transformation by playing a mediating role in the abovementioned relationship. The results of this research provide valuable insights into the theoretical framework underlying this topic by integrating dynamic capabilities, change management, and digital transformation. This information can help decision-makers in the telecommunications sector develop a roadmap for successful digital transformation projects in their organizations.","['Change management', 'Digital transformation', 'Dynamic capabilities', 'Telecom', 'Yemen']","['change management', 'digital transformation', 'dynamic capabilities', 'telecom', 'yemen']","Developing dynamic capabilities for successful digital transformation projects: the mediating role of change management Digital transformation is a growth strategy that has attracted a significant amount investment and is projected to boost the global economy by 2030. However, organizations face challenges in their efforts to develop effective approaches to digital transformation because of the constant need for new strategic choices. Dynamic capabilities and change management are vital with respect to organizations’ ability to maintain competitiveness in the changing environment established by digital technologies. The effective management of these changes is crucial, and failure is often the result of the absence of a suitable change management model. This study examines the significance of dynamic capabilities in digital transformation and explores the mediating role of a well-defined approach to change management in the context of digital projects. A quantitative research approach is used to investigate a population of 902 managers and team leaders working in the telecommunications sector in Yemen. A questionnaire is developed and administered to a sample of 350 participants, and the data collected were analyzed via SmartPLS. The findings reveal a positive relationship between dynamic capabilities and the successful implementation of digital transformation initiatives. Effective change management techniques facilitate digital transformation by playing a mediating role in the abovementioned relationship. The results of this research provide valuable insights into the theoretical framework underlying this topic by integrating dynamic capabilities, change management, and digital transformation. This information can help decision-makers in the telecommunications sector develop a roadmap for successful digital transformation projects in their organizations.",2024,49,10.1186/s13731-024-00446-9,Al-Moaid N.A.A.,Journal of Innovation and Entrepreneurship,2-s2.0-85209406348,0.280999209269589,15
Digital transformation and the performance of family firms: a dynamic capabilities perspective,"Digital transformation (DT) has become a critical strategy for enhancing a firm’s market competitiveness, yet the relationship between digital transformation and firm performance remains contentious. This study employs a dynamic capabilities perspective to compare the impact of digital transformation on performance between family firms and non-family firms, exploring the effect differences at a micro level. The empirical results reveal that while digital transformation in family firms is less effective in enhancing short-term performance compared to non-family firms, it significantly boosts long-term performance more than in non-family firms. Dynamic capabilities serve as the mediating path between DT and performance. Furthermore, focusing on family control characteristics, the paper examines and explains why the effects of DT on performance differ between family and non-family firms. It finds that family ownership and family management weaken the enhancement effect of DT on dynamic capabilities, but family management strengthens the role of dynamic capabilities in improving long-term performance. By exploring the relationship between DT and performance through the lens of firm characteristics, this study not only expands the research perspective on DT in family firms but also contributes to the ongoing debate on the impact of DT.","['digital transformation', 'dynamic capabilities', 'Family firms', 'performance']","['digital transformation', 'dynamic capabilities', 'family firms', 'performance']","Digital transformation and the performance of family firms: a dynamic capabilities perspective Digital transformation (DT) has become a critical strategy for enhancing a firm’s market competitiveness, yet the relationship between digital transformation and firm performance remains contentious. This study employs a dynamic capabilities perspective to compare the impact of digital transformation on performance between family firms and non-family firms, exploring the effect differences at a micro level. The empirical results reveal that while digital transformation in family firms is less effective in enhancing short-term performance compared to non-family firms, it significantly boosts long-term performance more than in non-family firms. Dynamic capabilities serve as the mediating path between DT and performance. Furthermore, focusing on family control characteristics, the paper examines and explains why the effects of DT on performance differ between family and non-family firms. It finds that family ownership and family management weaken the enhancement effect of DT on dynamic capabilities, but family management strengthens the role of dynamic capabilities in improving long-term performance. By exploring the relationship between DT and performance through the lens of firm characteristics, this study not only expands the research perspective on DT in family firms but also contributes to the ongoing debate on the impact of DT.",2026,5,10.1080/14479338.2024.2448486,Canjun C.,Innovation Organization and Management,2-s2.0-85214688964,0.2815366710795889,16
Managerial capabilities as facilitators of digital transformation? Dynamic managerial capabilities as antecedents to digital business model transformation and firm performance,"Digital business model transformation (DBMT) necessitates new managerial capabilities, yet the existing literature lacks an empirical understanding of managerial capabilities as antecedents to strategic change and firm performance. This paper builds on dynamic managerial capabilities theory to argue that managerial human capital—composed of leadership and entrepreneurial skills—is a critical facilitator of DBMT and resultant firm performance. Further, the research model proposes that managers' social capital and cognition positively moderate the relationship between human capital and DBMT. The study's findings from a sample of German Industry 4.0 firms provide new insights into the significance of managerial capabilities in a digital economy. This study advances management literature by demonstrating that the benefits of managers' human capital for DBMT are contingent on its form: entrepreneurial skills facilitate digital transformation integral for firm performance, while leadership skills have no impact on firm performance—neither directly nor indirectly through DBMT. Thus, this study provides strong evidence of the importance of entrepreneurial skills in driving DBMT to increase firm performance. Further, the findings offer a nuanced account of the interrelationships between dynamic managerial capabilities, revealing that higher levels of social capital and lower levels of cognition increase the positive effect of entrepreneurial skills on DBMT. This study altogether reaffirms the significance of managers' dynamic capabilities for strategic change enabled by DBMT and their performance benefits, yet it reveals that the effect mechanisms differ from those found in nondigital research settings.","['Business model', 'Digital transformation', 'Dynamic managerial capabilities', 'Entrepreneurship', 'Firm performance']","['business model', 'digital transformation', 'dynamic managerial capabilities', 'entrepreneurship', 'firm performance']","Managerial capabilities as facilitators of digital transformation? Dynamic managerial capabilities as antecedents to digital business model transformation and firm performance Digital business model transformation (DBMT) necessitates new managerial capabilities, yet the existing literature lacks an empirical understanding of managerial capabilities as antecedents to strategic change and firm performance. This paper builds on dynamic managerial capabilities theory to argue that managerial human capital—composed of leadership and entrepreneurial skills—is a critical facilitator of DBMT and resultant firm performance. Further, the research model proposes that managers' social capital and cognition positively moderate the relationship between human capital and DBMT. The study's findings from a sample of German Industry 4.0 firms provide new insights into the significance of managerial capabilities in a digital economy. This study advances management literature by demonstrating that the benefits of managers' human capital for DBMT are contingent on its form: entrepreneurial skills facilitate digital transformation integral for firm performance, while leadership skills have no impact on firm performance—neither directly nor indirectly through DBMT. Thus, this study provides strong evidence of the importance of entrepreneurial skills in driving DBMT to increase firm performance. Further, the findings offer a nuanced account of the interrelationships between dynamic managerial capabilities, revealing that higher levels of social capital and lower levels of cognition increase the positive effect of entrepreneurial skills on DBMT. This study altogether reaffirms the significance of managers' dynamic capabilities for strategic change enabled by DBMT and their performance benefits, yet it reveals that the effect mechanisms differ from those found in nondigital research settings.",2023,123,10.1016/j.digbus.2023.100053,Heubeck T.,Digital Business,2-s2.0-85150862577,0.28155278222191127,17
Key enablers of dynamic capabilities for digital transformation in supply chain management,"Digital transformation is reshaping supply chains, yet we still know little about how dynamic capabilities are enabled to make large-scale change happen across networks of firms. This study examines the managerial levers that activate sensing, seizing, and reconfiguring during supply chain digitalization. Based on a multiple-case analysis of 17 large international firms and a frequency analysis of 3,326 interview codes, we identify 22 micro-foundations clustered around three managerial enablers, namely leadership approach, investment-decision process, and digital experts, shaping the dynamic capabilities in digitally transforming supply chains. The findings show that a top-down strategic vision fused with bottom-up entrepreneurship, reinforced by cross-functional and inter-organizational collaboration and flexible, impact-based funding, synchronizes sensing with seizing, whereas iterative investment cycles and the staged involvement of digital experts foster continuous reconfiguration of structures and processes. By unpacking the operative “how” behind dynamic capabilities and extending their lens beyond the single firm to the supply chain network, the research advances theory and offers managers actionable levers for accelerating large-scale digital change while preserving entrepreneurial agility.","['Digital transformation', 'Dynamic capabilities', 'Micro-foundations', 'Supply chain management']","['digital transformation', 'dynamic capabilities', 'micro-foundations', 'supply chain management']","Key enablers of dynamic capabilities for digital transformation in supply chain management Digital transformation is reshaping supply chains, yet we still know little about how dynamic capabilities are enabled to make large-scale change happen across networks of firms. This study examines the managerial levers that activate sensing, seizing, and reconfiguring during supply chain digitalization. Based on a multiple-case analysis of 17 large international firms and a frequency analysis of 3,326 interview codes, we identify 22 micro-foundations clustered around three managerial enablers, namely leadership approach, investment-decision process, and digital experts, shaping the dynamic capabilities in digitally transforming supply chains. The findings show that a top-down strategic vision fused with bottom-up entrepreneurship, reinforced by cross-functional and inter-organizational collaboration and flexible, impact-based funding, synchronizes sensing with seizing, whereas iterative investment cycles and the staged involvement of digital experts foster continuous reconfiguration of structures and processes. By unpacking the operative “how” behind dynamic capabilities and extending their lens beyond the single firm to the supply chain network, the research advances theory and offers managers actionable levers for accelerating large-scale digital change while preserving entrepreneurial agility.",2026,2,10.1007/s12063-025-00575-8,Lennartz C.,Operations Management Research,2-s2.0-105029177018,0.28360708225057485,18
"Digital maturity, dynamic capabilities and innovation performance in high-tech SMEs","The rapid advancement of digital technologies has positioned digital transformation as a strategic imperative for firms seeking to enhance innovation and competitiveness. However, existing research predominantly focuses on large corporations, overlooking how high-tech small and medium-sized enterprises (SMEs) navigate digitalization to drive innovation performance. Addressing this gap, this study examines the role of digital maturity in fostering innovation within high-tech SMEs, with a particular emphasis on the mediating effect of dynamic capabilities. Using survey data from 587 high-tech SMEs in China, analyzed through Partial Least Squares Structural Equation Modeling (PLS-SEM), the findings reveal that digital maturity positively influences both dynamic capabilities and innovation performance. Additionally, dynamic capabilities serve as a crucial mediating mechanism between digital maturity and innovation performance, reinforcing the importance of organizational agility and resource reconfiguration in digital transformation. However, the moderating effect of digital maturity on the relationship between dynamic capabilities and innovation performance was not supported, indicating that achieving higher digital maturity alone does not necessarily strengthen this linkage. These insights contribute to the broader discourse on digital transformation by demonstrating that a strategic alignment between digital maturity and dynamic capabilities is essential for high-tech SMEs to achieve sustainable innovation. The findings provide actionable implications for managers and policymakers seeking to optimize digital strategies and enhance competitiveness in rapidly evolving technological landscapes.","['Digital maturity', 'Digital transformation', 'Dynamic capabilities', 'Innovation performance']","['digital maturity', 'digital transformation', 'dynamic capabilities', 'innovation performance']","Digital maturity, dynamic capabilities and innovation performance in high-tech SMEs The rapid advancement of digital technologies has positioned digital transformation as a strategic imperative for firms seeking to enhance innovation and competitiveness. However, existing research predominantly focuses on large corporations, overlooking how high-tech small and medium-sized enterprises (SMEs) navigate digitalization to drive innovation performance. Addressing this gap, this study examines the role of digital maturity in fostering innovation within high-tech SMEs, with a particular emphasis on the mediating effect of dynamic capabilities. Using survey data from 587 high-tech SMEs in China, analyzed through Partial Least Squares Structural Equation Modeling (PLS-SEM), the findings reveal that digital maturity positively influences both dynamic capabilities and innovation performance. Additionally, dynamic capabilities serve as a crucial mediating mechanism between digital maturity and innovation performance, reinforcing the importance of organizational agility and resource reconfiguration in digital transformation. However, the moderating effect of digital maturity on the relationship between dynamic capabilities and innovation performance was not supported, indicating that achieving higher digital maturity alone does not necessarily strengthen this linkage. These insights contribute to the broader discourse on digital transformation by demonstrating that a strategic alignment between digital maturity and dynamic capabilities is essential for high-tech SMEs to achieve sustainable innovation. The findings provide actionable implications for managers and policymakers seeking to optimize digital strategies and enhance competitiveness in rapidly evolving technological landscapes.",2025,53,10.1016/j.iref.2025.103971,Jie H.,International Review of Economics and Finance,2-s2.0-86000347758,0.2863380708059674,19
Is it strategy or technology that drives value? Exploring the impact of digital transformation on manufacturing firms,"This study examines the impact of digital transformation on the market value of manufacturing firms in China, emphasizing the mechanisms driving performance improvement. Using Dynamic Capabilities Theory (DCT), we propose that digital transformation enhances market value through the upgrading of human capital, technological innovation, and operational efficiency. Based on data from 23,440 firm-year observations between 2012 and 2024, our analysis shows that digital transformation positively affects market value, measured by Tobin's Q. We also find that human capital, technological innovation, and operational efficiency mediate this relationship. Furthermore, external factors such as ESG performance and industry competition moderate the effects of digital transformation. Strong ESG ratings amplify its benefits, while greater industry concentration enhances the impact. State-owned and larger firms benefit more due to institutional advantages and resource availability. Additionally, firms with analytical strategies achieve the highest returns, highlighting the role of strategic orientation in digital transformation. These findings offer theoretical insights and practical guidance for managers seeking to use digital transformation for long-term value creation.","['Digital transformation', 'ESG performance', 'Firm performance', 'Human capital', 'Operational efficiency', 'Technological innovation']","['digital transformation', 'esg performance', 'firm performance', 'human capital', 'operational efficiency', 'technological innovation']","Is it strategy or technology that drives value? Exploring the impact of digital transformation on manufacturing firms This study examines the impact of digital transformation on the market value of manufacturing firms in China, emphasizing the mechanisms driving performance improvement. Using Dynamic Capabilities Theory (DCT), we propose that digital transformation enhances market value through the upgrading of human capital, technological innovation, and operational efficiency. Based on data from 23,440 firm-year observations between 2012 and 2024, our analysis shows that digital transformation positively affects market value, measured by Tobin's Q. We also find that human capital, technological innovation, and operational efficiency mediate this relationship. Furthermore, external factors such as ESG performance and industry competition moderate the effects of digital transformation. Strong ESG ratings amplify its benefits, while greater industry concentration enhances the impact. State-owned and larger firms benefit more due to institutional advantages and resource availability. Additionally, firms with analytical strategies achieve the highest returns, highlighting the role of strategic orientation in digital transformation. These findings offer theoretical insights and practical guidance for managers seeking to use digital transformation for long-term value creation.",2026,3,10.1016/j.iref.2026.105076,Jiang Z.,International Review of Economics and Finance,2-s2.0-105032256641,0.2864314083789097,20
Mastering the digital transformation through organizational capabilities: A conceptual framework,"As digital transformation is changing entire industries, organizations are struggling to keep up with these changes. Scholars are viewing organizational capabilities as a central mean for organizations to master digital transformation. Based on a comprehensive literature review, this study identifies a broad set of relevant organizational capabilities and introduces a conceptual framework in which organizational capabilities are clustered into seven relevant themes for managing digital transformation. These capabilities are then embedded in the logic of the dynamic capability theory, highlighting the development of organizational capabilities throughout the digital transformation process. The results reveal that a differentiated perspective on the digital transformation process is beneficial to account for changing needs of organizational capabilities during the transformation process. Just as organizations themselves change during the process, various capabilities at different time points are needed to support and enable organizations during digital transformation. The developed conceptual framework gives organizations guidance for the development of organizational capabilities throughout the digital transformation process.","['Conceptual framework', 'Digital transformation', 'Dynamic capabilities', 'Organizational capabilities']","['conceptual framework', 'digital transformation', 'dynamic capabilities', 'organizational capabilities']","Mastering the digital transformation through organizational capabilities: A conceptual framework As digital transformation is changing entire industries, organizations are struggling to keep up with these changes. Scholars are viewing organizational capabilities as a central mean for organizations to master digital transformation. Based on a comprehensive literature review, this study identifies a broad set of relevant organizational capabilities and introduces a conceptual framework in which organizational capabilities are clustered into seven relevant themes for managing digital transformation. These capabilities are then embedded in the logic of the dynamic capability theory, highlighting the development of organizational capabilities throughout the digital transformation process. The results reveal that a differentiated perspective on the digital transformation process is beneficial to account for changing needs of organizational capabilities during the transformation process. Just as organizations themselves change during the process, various capabilities at different time points are needed to support and enable organizations during digital transformation. The developed conceptual framework gives organizations guidance for the development of organizational capabilities throughout the digital transformation process.",2022,245,10.1016/j.digbus.2021.100019,Konopik J.,Digital Business,2-s2.0-85155450906,0.2892913685722822,21
The effect of process digitalization initiative on firm performance: A dynamic capability development perspective,"Digitalization has been increasingly adopted to transform the manufacturing process and considered as effective to achieve product customization, process efficiency, and firm performance for companies. Nevertheless, misalignment among digital initiative and existing operational routines are found in some companies, making the effectiveness of process digitalization initiative (PDI) uncertain. This research empirically investigates the effect of PDI on firm performance. Taking the perspective of dynamic operational capability, this study considers three key organizational factors, i.e., differentiation strategy, absorptive capability and lean production mechanism, that can facilitate firms to align their existing operational processes with digital technology and examine how they affect the implementation of PDI. We employ the long-horizon event study approach using the panel data collected from 168 firms adopting PDI in China during the period between 2006 and 2018. The findings of this study demonstrate that PDI implementation enhances firm performance. The results also show that differentiation strategy and absorptive capacity can enhance the effect of PDI implementation, but lean production has a substitution role in the effect of PDI. This research contributes to the literature on digital transformation and dynamic capability by investigating the actual effects of PDI implementation and exploring the key elements for its success from a novel perspective (i.e., dynamic capability development). This research also provides practical guidelines to enterprises how to conduct effective process digitalization and valuable insights to governments how to support enterprises for digitalization.","['Absorptive capacity', 'Differentiation strategy', 'Dynamic operational capability', 'Lean production mechanism', 'Process digitalization initiative']","['absorptive capacity', 'differentiation strategy', 'dynamic operational capability', 'lean production mechanism', 'process digitalization initiative']","The effect of process digitalization initiative on firm performance: A dynamic capability development perspective Digitalization has been increasingly adopted to transform the manufacturing process and considered as effective to achieve product customization, process efficiency, and firm performance for companies. Nevertheless, misalignment among digital initiative and existing operational routines are found in some companies, making the effectiveness of process digitalization initiative (PDI) uncertain. This research empirically investigates the effect of PDI on firm performance. Taking the perspective of dynamic operational capability, this study considers three key organizational factors, i.e., differentiation strategy, absorptive capability and lean production mechanism, that can facilitate firms to align their existing operational processes with digital technology and examine how they affect the implementation of PDI. We employ the long-horizon event study approach using the panel data collected from 168 firms adopting PDI in China during the period between 2006 and 2018. The findings of this study demonstrate that PDI implementation enhances firm performance. The results also show that differentiation strategy and absorptive capacity can enhance the effect of PDI implementation, but lean production has a substitution role in the effect of PDI. This research contributes to the literature on digital transformation and dynamic capability by investigating the actual effects of PDI implementation and exploring the key elements for its success from a novel perspective (i.e., dynamic capability development). This research also provides practical guidelines to enterprises how to conduct effective process digitalization and valuable insights to governments how to support enterprises for digitalization.",2022,70,10.1016/j.ijpe.2022.108654,Yang Y.,International Journal of Production Economics,2-s2.0-85139320509,0.2899123090192546,22
"Environmental, social and governance performance: dynamic capabilities through digital transformation","Purpose: While prior studies predominantly focus on the overall impact of digital transformation on environmental, social and governance (ESG) performance, this study employs dynamic capability theory to examine two different dimensions of digital transformation, namely digital transformation quantity and digital transformation structure, and how they influence the ESG performance of enterprises. The mediating roles of social attention and green innovation are investigated to further explore the underlying mechanisms. Design/methodology/approach: The authors apply fixed effects models and empirically test the hypotheses using samples of Chinese A-share listed companies from 2011 to 2020. In addition, difference-in-differences and instrumental variable methods are used in the robustness test. Findings: When digital transformation is categorized into quantity and structure, the impact mechanisms are found to be distinct. Externally, digital transformation quantity attracts social attention, aiding enterprises in evolutionary adaptability and acquiring resources to support ESG practices. Internally, digital transformation structure fosters green innovation, enabling enterprises to overcome technical obstacles and harness technology’s potential to enhance their ESG performance. Originality/value: This study contributes to the current knowledge by differentiating digital transformation into quantity and structure, which helps to further explore the mechanism of digital transformation on ESG and address the research gap. Meanwhile, the concept of adaptability in the dynamic capability theory is employed to construct the model, offering a deeper perspective and expanding the theory. This nuanced investigation of the mediating effects of social attention and green innovation elucidates how different dimensions of digital transformation contribute to the development and utilization of dynamic capabilities, thereby enhancing enterprises’ ESG performance.","['Digital transformation', 'Dynamic capability theory', 'ESG performance', 'Green innovation', 'Social attention']","['digital transformation', 'dynamic capability theory', 'esg performance', 'green innovation', 'social attention']","Environmental, social and governance performance: dynamic capabilities through digital transformation Purpose: While prior studies predominantly focus on the overall impact of digital transformation on environmental, social and governance (ESG) performance, this study employs dynamic capability theory to examine two different dimensions of digital transformation, namely digital transformation quantity and digital transformation structure, and how they influence the ESG performance of enterprises. The mediating roles of social attention and green innovation are investigated to further explore the underlying mechanisms. Design/methodology/approach: The authors apply fixed effects models and empirically test the hypotheses using samples of Chinese A-share listed companies from 2011 to 2020. In addition, difference-in-differences and instrumental variable methods are used in the robustness test. Findings: When digital transformation is categorized into quantity and structure, the impact mechanisms are found to be distinct. Externally, digital transformation quantity attracts social attention, aiding enterprises in evolutionary adaptability and acquiring resources to support ESG practices. Internally, digital transformation structure fosters green innovation, enabling enterprises to overcome technical obstacles and harness technology’s potential to enhance their ESG performance. Originality/value: This study contributes to the current knowledge by differentiating digital transformation into quantity and structure, which helps to further explore the mechanism of digital transformation on ESG and address the research gap. Meanwhile, the concept of adaptability in the dynamic capability theory is employed to construct the model, offering a deeper perspective and expanding the theory. This nuanced investigation of the mediating effects of social attention and green innovation elucidates how different dimensions of digital transformation contribute to the development and utilization of dynamic capabilities, thereby enhancing enterprises’ ESG performance.",2024,57,10.1108/MD-10-2023-2028,Wei J.,Management Decision,2-s2.0-85198095024,0.2901582798075135,23
