gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_frequency_other_clusters,metric_presence_ratio,metric_tfidf,metric_distance_from_subcentroid,metric_distance_zscore,metric_centrality,metric_global_frequency,metric_similarity,metric_frequency_1,metric_frequency_2,metric_mean_tfidf
Emerging Concept,ant forest,Ant forest,3,Customer engagement & Engagement,0.7461433450703339,1,1,23.0,"frequency=1 in cluster, 1 in corpus, z=1.88, tfidf=0.0040",The moderating effect of environmental gamification on the relationship between social media marketing and consumer-brand engagement: A case study of Ant Forest Gen Z users,10.1016/j.heliyon.2024.e25948,,,0.003957381714133421,0.5769459565473051,1.8796073888761538,0.6570413129546502,1.0,,,,
Emerging Concept,educational technology,Educational technology,3,Customer engagement & Engagement,0.7217416544410855,1,1,30.0,"frequency=1 in cluster, 1 in corpus, z=1.92, tfidf=0.0038",Gamification using a choose-your-own-adventure type platform to augment learning and facilitate student engagement in marketing education,nan,,,0.0038123520314961618,0.5827026643450328,1.924231102448497,0.5968620522558467,1.0,,,,
Emerging Concept,psychological fear,Psychological fear,3,Customer engagement & Engagement,0.7078149753548144,1,1,31.0,"frequency=1 in cluster, 1 in corpus, z=1.32, tfidf=0.0037",Does gamification effect customer brand engagement and co-creation during pandemic? A moderated-mediation analysis,10.1080/21639159.2022.2083000,,,0.003737121901195356,0.5043485823290044,1.3168613633612973,0.672624755041825,1.0,,,,
Emerging Concept,time poverty,Time poverty,1,Consumer behavior & gamification marketing,0.7,1,1,6.0,"frequency=1 in cluster, 1 in corpus, z=1.29, tfidf=0.0032",How Does Gamification Improve Purchase Intention? Through the Lens of Perceived Brand Coolness and Time Poverty,10.3390/bs14121226,,,0.0031771567761825228,0.3033204928351193,1.2853194941808586,0.5290005513682079,1.0,,,,
Emerging Concept,location-based technology,Location-based technology,4,Consumer behaviour & e-commerce platforms,0.7,1,1,25.0,"frequency=1 in cluster, 1 in corpus, z=1.64, tfidf=0.0030",Fun Shopping: A Randomized Field Experiment on Gamification,10.1287/isre.2022.1147,,,0.0030494442868067707,0.4186483950377313,1.6436534427724,0.47117590123415287,1.0,,,,
Emerging Concept,consumer–brand engagement,Consumer–brand engagement,0,Mobile apps & Branded app,0.6901220342904746,1,1,29.0,"frequency=1 in cluster, 1 in corpus, z=-1.09, tfidf=0.0528",How gamified branded applications drive marketing effectiveness?,10.1108/MIP-09-2020-0407,,,0.05275027105204532,0.17521284697568162,-1.0867336348562828,0.34766854529394386,1.0,,,,
Emerging Concept,customer experience,Customer experience,5,Brand loyalty & Brand engagement,0.6749375762583669,1,1,48.0,"frequency=1 in cluster, 3 in corpus, z=1.62, tfidf=0.0110",Gamification and customer experience: the mediating role of brand engagement in online grocery retailing,10.1108/NBRI-07-2020-0041,,,0.010977063396689565,0.3342499169399169,1.6212119381417158,0.3338023789656115,3.0,,,,
Emerging Concept,sustainability behavior,Sustainability behavior,0,Mobile apps & Branded app,0.6535850719528955,1,1,26.0,"frequency=1 in cluster, 1 in corpus, z=1.59, tfidf=0.0033",Effects of Gamified Mobile Apps on Purchase Intentions and Word-of-Mouth Engagement: Implications for Sustainability Behavior,10.3390/su151310506,,,0.0033162101862802247,0.38400477631733065,1.5914687924005455,0.4972111939961543,1.0,,,,
Emerging Concept,mobile communication,Mobile Communication,0,Mobile apps & Branded app,0.6249404935903532,1,1,28.0,"frequency=1 in cluster, 1 in corpus, z=1.29, tfidf=0.0024",The role of gamification in brand app experience: The moderating effects of the 4Rs of app marketing,10.1080/23311908.2019.1576388,,,0.002378229795759373,0.3601538431729626,1.285529634498216,0.492737106692251,1.0,,,,
Emerging Concept,environmental awareness,Environmental awareness,1,Consumer behavior & gamification marketing,0.6128011253878312,1,1,1.0,"frequency=1 in cluster, 1 in corpus, z=0.52, tfidf=0.0035",Gamification as a marketing strategy for sustainable retail: Effects on consumer purchasing decisions and environmental awareness,10.31893/multiscience.2026477,,,0.0035387948749191563,0.26059438492430886,0.5165360221243426,0.475717928210616,1.0,,,,
Emerging Concept,brand equity,Brand equity,5,Brand loyalty & Brand engagement,0.5734023163440951,1,1,5.0,"frequency=1 in cluster, 1 in corpus, z=0.83, tfidf=0.0041",The effect of gamification on brand equity and desirable consumer behaviors in online retail stores: The mediating role of brand engagement,10.22059/ijms.2023.352786.675544,,,0.004102429984683926,0.2720348192195956,0.8286424861999275,0.32384090870371296,1.0,,,,
Emerging Concept,travel agencies,Travel agencies,5,Brand loyalty & Brand engagement,0.5691283592778369,1,1,211.0,"frequency=1 in cluster, 1 in corpus, z=-0.08, tfidf=0.0034",The impact of gamification adoption intention on brand awareness and loyalty in tourism: The mediating effect of customer engagement,10.1016/j.jdmm.2021.100559,,,0.0034471964655251974,0.200765116450921,-0.07927522723593089,0.5406544550780651,1.0,,,,
Emerging Concept,purchasing decisions,Purchasing decisions,1,Consumer behavior & gamification marketing,0.5621870018608814,1,1,1.0,"frequency=1 in cluster, 1 in corpus, z=0.80, tfidf=0.0035",Gamification as a marketing strategy for sustainable retail: Effects on consumer purchasing decisions and environmental awareness,10.31893/multiscience.2026477,,,0.0035387948749191563,0.27610413806954537,0.7956075888260102,0.3433188727282044,1.0,,,,
Emerging Concept,service business,Service business,2,Marketing & Digital Marketing,0.5315192903564129,1,1,104.0,"frequency=1 in cluster, 1 in corpus, z=0.41, tfidf=0.0036",Gamification and service marketing,10.1186/2193-1801-3-653,,,0.003598166013157925,0.3287176652757102,0.41355215724824673,0.4045692459791277,1.0,,,,
Emerging Concept,digital marketing,Digital Marketing,2,Marketing & Digital Marketing,0.5159259033198462,1,1,2.0,"frequency=1 in cluster, 1 in corpus, z=-0.83, tfidf=0.0055",Employing gamification methods to increase customer engagement in digital marketing,10.35940/ijrte.B1366.0882S819,,,0.005452590223989428,0.24513427556894374,-0.8349145850789255,0.2687901708467413,1.0,,,,
Emerging Concept,e-commerce platforms,E-commerce platforms,4,Consumer behaviour & e-commerce platforms,0.48822873852199017,1,1,14.0,"frequency=1 in cluster, 1 in corpus, z=-0.04, tfidf=0.0031",It’s not all fun and games: gamification in e-commerce on consumers’ impulse buying of retail food products,10.1108/BFJ-04-2024-0361,,,0.003080771822909292,0.34785532213239734,-0.03857191655296625,0.44541278596369405,1.0,,,,
Emerging Concept,consumer behaviour,Consumer behaviour,4,Consumer behaviour & e-commerce platforms,0.3147688098806589,1,1,14.0,"frequency=1 in cluster, 2 in corpus, z=-0.74, tfidf=0.0049",It’s not all fun and games: gamification in e-commerce on consumers’ impulse buying of retail food products,10.1108/BFJ-04-2024-0361,,,0.004864186256893877,0.318492288136754,-0.7363130709771628,0.3940251639338962,2.0,,,,
