title,abstract,author_keywords,keywords_normalized,combined_text,year,citations,doi,authors,source,eid,query_distance,rank,cluster,distance_from_centroid
The effect of gamification on brand equity and desirable consumer behaviors in online retail stores: The mediating role of brand engagement,"The use of gamification as a means to engage and retain customers has garnered significant attention in marketing. Despite its widespread usage, little is known about its impact on consumer behavior within online contexts. This paper aims to investigate the influence of gamification on brand equity and desirable consumer behaviors by examining the mediating role of brand engagement. An analytical survey study was conducted, with the statistical population consisting of all customers of Digikala, the most prominent online retail store in Iran. The G-power software was employed to determine the sample size for the partial least square test. Standard questionnaires were employed for data collection, and structural equation modeling (SEM) using Smart PLS software was utilized for data analysis. The findings reveal that gamification significantly impacts brand equity, including brand awareness and loyalty, and desirable consumer behaviors such as word of mouth and resistance to negative information. Moreover, gamification enhanced brand engagement, which mediates its effects on brand equity and desirable consumer behaviors. The incorporation of gamification dimensions, including immersion, achievement, and social interaction, is identified as a promising marketing strategy, and online business managers and marketers should focus on enhancing these dimensions.","['Brand engagement', 'Brand equity', 'Desirable consumer behaviors', 'Gamification']","['brand engagement', 'brand equity', 'desirable consumer behaviors', 'gamification']","The effect of gamification on brand equity and desirable consumer behaviors in online retail stores: The mediating role of brand engagement The use of gamification as a means to engage and retain customers has garnered significant attention in marketing. Despite its widespread usage, little is known about its impact on consumer behavior within online contexts. This paper aims to investigate the influence of gamification on brand equity and desirable consumer behaviors by examining the mediating role of brand engagement. An analytical survey study was conducted, with the statistical population consisting of all customers of Digikala, the most prominent online retail store in Iran. The G-power software was employed to determine the sample size for the partial least square test. Standard questionnaires were employed for data collection, and structural equation modeling (SEM) using Smart PLS software was utilized for data analysis. The findings reveal that gamification significantly impacts brand equity, including brand awareness and loyalty, and desirable consumer behaviors such as word of mouth and resistance to negative information. Moreover, gamification enhanced brand engagement, which mediates its effects on brand equity and desirable consumer behaviors. The incorporation of gamification dimensions, including immersion, achievement, and social interaction, is identified as a promising marketing strategy, and online business managers and marketers should focus on enhancing these dimensions.",2024,5,10.22059/ijms.2023.352786.675544,Ebrahimi E.,Interdisciplinary Journal of Management Studies,2-s2.0-85188170224,0.3026293114401619,11,5,0.06900361025612378
Gamification as a platform for brand co-creation experiences,"This study is aimed at establishing a connection between brand gamified experiences and brand value co-creation, based on a literature review and insights from exploratory research. Consumers' motivations to get involved with gamified experiences and their impact on consumer engagement and brand experience are analyzed. Simultaneously, the study explores the motivations that drive firms to implement gamified systems with consequences for brand value co-creation. Seven managers and marketing professionals were interviewed through semi-structured interviews, and two focus groups were performed to collect primary information on consumers' perceptions and motivations. Results suggest that gamification offers a platform for the development of brand engagement and relationship enhancement, through entertainment, challenges, continuous experiences, and brand involvement. Consumers seek gamified systems that provide them with fun, rewards, competition, social interactions and recognition, customization, and sense of community. Gamification also allows firms to collect spontaneous and valuable data on consumers' opinions and interactions. In sum, gamification can be seen as an innovative branding tool to promote consumer interaction and participation in brand co-creation experiences, all of which is essential to managing brand-based innovation.","['Brand experience', 'Brand value co-creation', 'Consumer engagement', 'Gamification', 'Innovative brand management']","['brand experience', 'brand value co-creation', 'consumer engagement', 'gamification', 'innovative brand management']","Gamification as a platform for brand co-creation experiences This study is aimed at establishing a connection between brand gamified experiences and brand value co-creation, based on a literature review and insights from exploratory research. Consumers' motivations to get involved with gamified experiences and their impact on consumer engagement and brand experience are analyzed. Simultaneously, the study explores the motivations that drive firms to implement gamified systems with consequences for brand value co-creation. Seven managers and marketing professionals were interviewed through semi-structured interviews, and two focus groups were performed to collect primary information on consumers' perceptions and motivations. Results suggest that gamification offers a platform for the development of brand engagement and relationship enhancement, through entertainment, challenges, continuous experiences, and brand involvement. Consumers seek gamified systems that provide them with fun, rewards, competition, social interactions and recognition, customization, and sense of community. Gamification also allows firms to collect spontaneous and valuable data on consumers' opinions and interactions. In sum, gamification can be seen as an innovative branding tool to promote consumer interaction and participation in brand co-creation experiences, all of which is essential to managing brand-based innovation.",2017,126,10.1057/s41262-017-0055-3,Nobre H.,Journal of Brand Management,2-s2.0-85019702006,0.31114913271959077,12,3,0.13740372780552268
The effect of gamification on brand awareness: A study of retail industry and healthy-living applications,"Rapid developments in digitisation have resulted in gamification (ie, the use of game elements and game mechanics in non-game areas) becoming more common and easy to apply in digital environments. This study examines the use of gamification in the field of marketing, specifically its effects on brand awareness. As the paper shows, gamification helps to establish important bonds between the brand, the company and the customer. In this context, the paper analyses brand awareness by means of the survey method. Due to the size of the study population, the scope of the study was narrowed to apps promoting healthy living and apps produced by the retail sector. Convenience sampling was used to recruit 400 respondents. The survey found that gamification has a positive effect on brand awareness (r = 0.55) and that attitude to gamified apps has a positive effect on brand awareness (r = 0.58). Certain demographic factors were also found to influence the use of gamified apps.","['brand attitude', 'brand awareness', 'gamification', 'gamified applications', 'gamified marketing practices']","['brand attitude', 'brand awareness', 'gamification', 'gamified applications', 'gamified marketing practices']","The effect of gamification on brand awareness: A study of retail industry and healthy-living applications Rapid developments in digitisation have resulted in gamification (ie, the use of game elements and game mechanics in non-game areas) becoming more common and easy to apply in digital environments. This study examines the use of gamification in the field of marketing, specifically its effects on brand awareness. As the paper shows, gamification helps to establish important bonds between the brand, the company and the customer. In this context, the paper analyses brand awareness by means of the survey method. Due to the size of the study population, the scope of the study was narrowed to apps promoting healthy living and apps produced by the retail sector. Convenience sampling was used to recruit 400 respondents. The survey found that gamification has a positive effect on brand awareness (r = 0.55) and that attitude to gamified apps has a positive effect on brand awareness (r = 0.58). Certain demographic factors were also found to influence the use of gamified apps.",2024,1,10.69554/OHMK3521,Alsan H.,Journal of Digital and Social Media Marketing,2-s2.0-85212298700,0.31173657924785325,13,3,0.15151874044324742
How Does Gamification Improve Purchase Intention? Through the Lens of Perceived Brand Coolness and Time Poverty,"Gamification has been extensively employed in marketing practices to meet the diverse needs of consumers. Previous research suggests that gamification marketing plays a pivotal role in influencing customer purchase intention. However, the precise mechanism through which gamification marketing impacts purchase intention requires further investigation. Drawing on the self-determination theory (SDT), this study explores the relationship between gamification marketing and purchase intention, with customers’ perceived brand coolness as a mediating variable and time poverty as a moderating variable. Using data collected from 184 participants in the experiment, our research demonstrates that, in comparison to non-gamification marketing, gamification marketing significantly influences purchase intention. Furthermore, perceived brand coolness emerges as a mediating factor in this relationship, providing new insights into the gamification mechanism. Customers who are in low time poverty exert more perceived brand coolness and purchase intentions compared with high time poverty in the context of gamification marketing. This study expands the research of gamification by introducing perceived brand coolness to the relationship between gamification marketing and purchase intention. It also contributes to the study of time poverty under the context of gamification marketing.","['consumer behavior', 'gamification marketing', 'perceived brand coolness', 'purchase intention', 'time poverty']","['consumer behavior', 'gamification marketing', 'perceived brand coolness', 'purchase intention', 'time poverty']","How Does Gamification Improve Purchase Intention? Through the Lens of Perceived Brand Coolness and Time Poverty Gamification has been extensively employed in marketing practices to meet the diverse needs of consumers. Previous research suggests that gamification marketing plays a pivotal role in influencing customer purchase intention. However, the precise mechanism through which gamification marketing impacts purchase intention requires further investigation. Drawing on the self-determination theory (SDT), this study explores the relationship between gamification marketing and purchase intention, with customers’ perceived brand coolness as a mediating variable and time poverty as a moderating variable. Using data collected from 184 participants in the experiment, our research demonstrates that, in comparison to non-gamification marketing, gamification marketing significantly influences purchase intention. Furthermore, perceived brand coolness emerges as a mediating factor in this relationship, providing new insights into the gamification mechanism. Customers who are in low time poverty exert more perceived brand coolness and purchase intentions compared with high time poverty in the context of gamification marketing. This study expands the research of gamification by introducing perceived brand coolness to the relationship between gamification marketing and purchase intention. It also contributes to the study of time poverty under the context of gamification marketing.",2024,6,10.3390/bs14121226,Liao Y.,Behavioral Sciences,2-s2.0-85213360369,0.3141193943020042,14,1,0.11137454868034391
Gamification and Mobile Marketing Effectiveness,"A variety of business sectors have been buffeted by the diffusion of mobile technology, a trend that presents a variety of difficult challenges but interesting opportunities to marketers. One such opportunity is gamification, which, one hopes, will enhance appeal to mobile consumers. Our sense from both personal experience and the literature is that the gamified mobile apps currently offered by firms mostly miss the mark. We provide a systematic overview of game design and note how principles derived from that field are highly applicable to gamification in mobile marketing settings. We are aided by the work of Schell (2008), whose Elemental Game Tetrad Model allows us to offer a coherent look at how gamification should affect mobile marketing outcomes.","['Aesthetics', 'Game design', 'Gamification', 'Gaming', 'Mechanics', 'Mobile', 'Retailing', 'Story', 'Technology']","['aesthetics', 'game design', 'gamification', 'gaming', 'mechanics', 'mobile', 'retailing', 'story', 'technology']","Gamification and Mobile Marketing Effectiveness A variety of business sectors have been buffeted by the diffusion of mobile technology, a trend that presents a variety of difficult challenges but interesting opportunities to marketers. One such opportunity is gamification, which, one hopes, will enhance appeal to mobile consumers. Our sense from both personal experience and the literature is that the gamified mobile apps currently offered by firms mostly miss the mark. We provide a systematic overview of game design and note how principles derived from that field are highly applicable to gamification in mobile marketing settings. We are aided by the work of Schell (2008), whose Elemental Game Tetrad Model allows us to offer a coherent look at how gamification should affect mobile marketing outcomes.",2016,408,10.1016/j.intmar.2016.03.001,Hofacker C.F.,Journal of Interactive Marketing,2-s2.0-84963723708,0.3147039434594102,15,0,0.12271808592846711
"Utilitarian and Hedonic Values of Gamification and Their Influence on Brand Engagement, Loyalty, Trust and WoM","This research investigated the impact of gamification's utilitarian and hedonistic measurements on consumer brand engagement, loyalty, and WoM marketing outcomes. The data collection process was carried out in India using online and offline distribution of questionnaires. 231 forms were received, with 22 being eliminated due to inconsistencies, such as the identical answers to all questions, resulting in 209 responses acceptable for the research. PLS-SEM with using SEMinR, the hypotheses were tested. Results indicate that hedonic values are more successful in changing customer behaviour rather than utilitarian; the findings show that hedonic value exists in components that lead to brand loyalty and word-of-mouth. The study highlights the mediation effect of brand engagement, implying that while brand engagement is a required element for brand loyalty, it may be indifferent to achieving word-of-mouth. Brand engagement is more significant in promoting WoM than brand loyalty.","['Brand Engagement', 'Brand Loyalty', 'Brand Trust', 'Gamification', 'PLS-SEM', 'SEMinR', 'Word-of-Mouth']","['brand engagement', 'brand loyalty', 'brand trust', 'gamification', 'pls-sem', 'seminr', 'word-of-mouth']","Utilitarian and Hedonic Values of Gamification and Their Influence on Brand Engagement, Loyalty, Trust and WoM This research investigated the impact of gamification's utilitarian and hedonistic measurements on consumer brand engagement, loyalty, and WoM marketing outcomes. The data collection process was carried out in India using online and offline distribution of questionnaires. 231 forms were received, with 22 being eliminated due to inconsistencies, such as the identical answers to all questions, resulting in 209 responses acceptable for the research. PLS-SEM with using SEMinR, the hypotheses were tested. Results indicate that hedonic values are more successful in changing customer behaviour rather than utilitarian; the findings show that hedonic value exists in components that lead to brand loyalty and word-of-mouth. The study highlights the mediation effect of brand engagement, implying that while brand engagement is a required element for brand loyalty, it may be indifferent to achieving word-of-mouth. Brand engagement is more significant in promoting WoM than brand loyalty.",2025,25,10.1016/j.entcom.2024.100868,Singh Y.,Entertainment Computing,2-s2.0-85201614711,0.3157255205734377,16,3,0.1599911215735057
Does gamification engage users in online shopping?,"Since prior research has shown that engagement might exert positive effects on value creation and continuous purchase intention, this study aims to examine the influence of gamification on user engagement in e-commerce. An online consumer panel was used to collect data from 253 Spanish Amazon users. Principal component analysis was performed first to validate the scale through an exploratory analysis. Subsequently, partial least squares structural equation modelling calculations were performed to test the research model and hypotheses. This study found that gamification has direct effects on user engagement in e-commerce. In addition, the User Engagement Scale (UES) is presented as a valid and reliable instrument for measuring engagement in Spanish e-commerce. This research investigated and verified a five-factor structure of the UES; however, a reduction in its factors is recommended. Additionally, four key factors through which gamification exerts a direct influence were identified. Finally, specific marketing actions were proposed for application in e-commerce.","['Engagement', 'Gamification', 'PLS-SEM']","['engagement', 'gamification', 'pls-sem']","Does gamification engage users in online shopping? Since prior research has shown that engagement might exert positive effects on value creation and continuous purchase intention, this study aims to examine the influence of gamification on user engagement in e-commerce. An online consumer panel was used to collect data from 253 Spanish Amazon users. Principal component analysis was performed first to validate the scale through an exploratory analysis. Subsequently, partial least squares structural equation modelling calculations were performed to test the research model and hypotheses. This study found that gamification has direct effects on user engagement in e-commerce. In addition, the User Engagement Scale (UES) is presented as a valid and reliable instrument for measuring engagement in Spanish e-commerce. This research investigated and verified a five-factor structure of the UES; however, a reduction in its factors is recommended. Additionally, four key factors through which gamification exerts a direct influence were identified. Finally, specific marketing actions were proposed for application in e-commerce.",2021,75,10.1016/j.elerap.2021.101076,García-Jurado A.,Electronic Commerce Research and Applications,2-s2.0-85111158732,0.31642120369471605,17,1,0.1279900675703749
Creating brand engagement through in-store gamified customer experiences,"The purpose of this study is to understand how gamification contributes to customers’ value creation in a retail context and how this value creation relates to brand engagement. The study builds on a field experiment using a two-group between-subjects design combined with correlational research. The experiment involved 378 participants recruited at a major European sports retailer. Participants were exposed to one of two conditions: one with a gamified activity in a store, and one in which the participants performed the same activity without being exposed to any game elements. The findings show that gamification affects the hedonic value of an activity and that this effect can be partly explained by positive affect. When this hedonic value was compared to the satisfaction with a reward, the hedonic value was found to be a better predictor of continued engagement intention. Finally, gamification through continued engagement intention is positively associated with brand engagement.","['Brand engagement', 'Customer experience', 'Field experiment', 'Gamification', 'Retail']","['brand engagement', 'customer experience', 'field experiment', 'gamification', 'retail']","Creating brand engagement through in-store gamified customer experiences The purpose of this study is to understand how gamification contributes to customers’ value creation in a retail context and how this value creation relates to brand engagement. The study builds on a field experiment using a two-group between-subjects design combined with correlational research. The experiment involved 378 participants recruited at a major European sports retailer. Participants were exposed to one of two conditions: one with a gamified activity in a store, and one in which the participants performed the same activity without being exposed to any game elements. The findings show that gamification affects the hedonic value of an activity and that this effect can be partly explained by positive affect. When this hedonic value was compared to the satisfaction with a reward, the hedonic value was found to be a better predictor of continued engagement intention. Finally, gamification through continued engagement intention is positively associated with brand engagement.",2019,136,10.1016/j.jretconser.2019.05.006,Högberg J.,Journal of Retailing and Consumer Services,2-s2.0-85065402234,0.318387091874332,18,3,0.13327449289792714
"Impact analysis of experience on gamification marketing activities, social media marketing, and other factors toward brand loyalty in online marketplace application","Gamified method or well known as gamification has been adapted to enhance the primary process in many fields, such as improving lecturing processes in higher education, improving information acceptance rates in health therapy, and recently increasing consumer interaction with different brands in the e-commerce market. Online marketplace application as a popular variety of e-commerce, also following this trend to implement gamification elements in their application to create a better buying experience for their users and to increase the brand loyalty of their users towards various online marketplace applications. Aside from gamification, social media is still one of the most chosen media to be a marketing channel of an online marketplace brand by creating official account and use them to interact intimately with their customers. In this research, we assess the impact of experience on gamification marketing activities and social media marketing, mediated brand attitude, consumer brand engagement, and customer satisfaction towards brand loyalty in Indonesian online marketplace using Structural Equations Modeling (SEM) type of analysis. The finding of the study showed that the brand attitude and customer satisfaction fully mediated the impact of gamification marketing practices on brand loyalty, while social media marketing and consumer brand engagement has no significant effect on brand loyalty.","['Brand attitude', 'Brand loyalty', 'Consumer brand engagement', 'Gamification marketing activities', 'Online marketplace', 'Social media marketing']","['brand attitude', 'brand loyalty', 'consumer brand engagement', 'gamification marketing activities', 'online marketplace', 'social media marketing']","Impact analysis of experience on gamification marketing activities, social media marketing, and other factors toward brand loyalty in online marketplace application Gamified method or well known as gamification has been adapted to enhance the primary process in many fields, such as improving lecturing processes in higher education, improving information acceptance rates in health therapy, and recently increasing consumer interaction with different brands in the e-commerce market. Online marketplace application as a popular variety of e-commerce, also following this trend to implement gamification elements in their application to create a better buying experience for their users and to increase the brand loyalty of their users towards various online marketplace applications. Aside from gamification, social media is still one of the most chosen media to be a marketing channel of an online marketplace brand by creating official account and use them to interact intimately with their customers. In this research, we assess the impact of experience on gamification marketing activities and social media marketing, mediated brand attitude, consumer brand engagement, and customer satisfaction towards brand loyalty in Indonesian online marketplace using Structural Equations Modeling (SEM) type of analysis. The finding of the study showed that the brand attitude and customer satisfaction fully mediated the impact of gamification marketing practices on brand loyalty, while social media marketing and consumer brand engagement has no significant effect on brand loyalty.",2020,2,,Viega M.T.,Journal of Theoretical and Applied Information Technology,2-s2.0-85095448614,0.3187745006449182,19,5,0.10588661852822123
Factors driving consumer engagement and intentions with gamification of mobile apps,"The advent of smartphones revolutionized and took the market to a new level. Now a days, majority of internet users spend their maximum time on smartphones, specifically on mobile apps. The emergence of numerous apps in smartphones with games features has brought about a different trend, mobile app gamification. The emerging popularity of smartphone technologies and their mobile apps have led various companies to engage their consumers with mobile apps, specifically through gamification. Therefore, companies gain consumers attention integrate their mobile marketing into their overall marketing strategy. This study explores the domain of consumer engagement and their intentions through the gamification of mobile apps. The research focuses on how mobile app gamification drives consumer engagement and their intentions drawing upon SDT and TAM. Using survey method data collected from 270 respondents, data analysis was done with structure equation modeling (SEM). The findings assert that various features of gamification of mobile apps (perceived ease of use, perceived usefulness and enjoyment) have a significant influence on consumer engagement. However, convenience was unexpectedly found not to be significantly associated with consumer engagement. Additionally, consumer engagement was found to be associated to smartphone user’s intentions to use gamification of mobile apps. The results of present study have theoretical and practical implications.","['Consumer Engagement', 'Gamification', 'Intention', 'Mobile Apps', 'SEM', 'Smartphone']","['consumer engagement', 'gamification', 'intention', 'mobile apps', 'sem', 'smartphone']","Factors driving consumer engagement and intentions with gamification of mobile apps The advent of smartphones revolutionized and took the market to a new level. Now a days, majority of internet users spend their maximum time on smartphones, specifically on mobile apps. The emergence of numerous apps in smartphones with games features has brought about a different trend, mobile app gamification. The emerging popularity of smartphone technologies and their mobile apps have led various companies to engage their consumers with mobile apps, specifically through gamification. Therefore, companies gain consumers attention integrate their mobile marketing into their overall marketing strategy. This study explores the domain of consumer engagement and their intentions through the gamification of mobile apps. The research focuses on how mobile app gamification drives consumer engagement and their intentions drawing upon SDT and TAM. Using survey method data collected from 270 respondents, data analysis was done with structure equation modeling (SEM). The findings assert that various features of gamification of mobile apps (perceived ease of use, perceived usefulness and enjoyment) have a significant influence on consumer engagement. However, convenience was unexpectedly found not to be significantly associated with consumer engagement. Additionally, consumer engagement was found to be associated to smartphone user’s intentions to use gamification of mobile apps. The results of present study have theoretical and practical implications.",2020,46,10.4018/JECO.2020040102,Kamboj S.,Journal of Electronic Commerce in Organizations,2-s2.0-85089856552,0.32108738026201444,20,0,0.09844285525242125
The role of gamification in brand app experience: The moderating effects of the 4Rs of app marketing,"This study examines the relationships between several sub-factors of gamification (i.e. fun, rewards, competition, and storytelling) and brand app experiences. The study also examines the moderating effects of the so-called 4Rs of brand apps (reflex, reality, real place, and real communication) on brand app experiences. The study was conducted in groups of approximately 450 subjects. The study finds that gamification is positively related to brand app experiences, with fun and storytelling serving as motivating factors and having stronger effects on brand app experiences than other factors. Brand app users are more likely to seek fun and storytelling when using brand apps than other potential gamification sub-factors. The results suggest that companies should develop technologies to interact with customers, attract customers, and provide them with memorable experiences and fun.","['app experience', 'application', 'Brand', 'brand app', 'Brand Application', 'consumer brand satisfaction', 'gamification', 'Gamification', 'marketing', 'Marketing Strategy', 'Mobile Communication']","['app experience', 'application', 'brand', 'brand app', 'brand application', 'consumer brand satisfaction', 'gamification', 'marketing', 'marketing strategy', 'mobile communication']","The role of gamification in brand app experience: The moderating effects of the 4Rs of app marketing This study examines the relationships between several sub-factors of gamification (i.e. fun, rewards, competition, and storytelling) and brand app experiences. The study also examines the moderating effects of the so-called 4Rs of brand apps (reflex, reality, real place, and real communication) on brand app experiences. The study was conducted in groups of approximately 450 subjects. The study finds that gamification is positively related to brand app experiences, with fun and storytelling serving as motivating factors and having stronger effects on brand app experiences than other factors. Brand app users are more likely to seek fun and storytelling when using brand apps than other potential gamification sub-factors. The results suggest that companies should develop technologies to interact with customers, attract customers, and provide them with memorable experiences and fun.",2019,28,10.1080/23311908.2019.1576388,Lee J.,Cogent Psychology,2-s2.0-85061315608,0.323126099212119,21,0,0.1320203621083953
Enhancing user engagement: The role of gamification in mobile apps,"Organizations are increasingly making use of gamification to enhance users’ engagement with their mobile apps. However, more research into the mechanisms that facilitate user engagement and its consequences is needed. Drawing on the self-system model of motivational development, this study investigates how gamification might foster user engagement and positive marketing outcomes. Data from 276 users of a mobile gamified app were analyzed using partial least squares regression. The results showed that gamification increases user engagement through satisfaction of the needs for competence, autonomy and relatedness. User engagement, in turn, leads to greater intention to use, disseminate WOM about, and to positively rate, the app. Finally, this study provides a number of theoretical and practical implications that can help developers design more effective gamified mobile apps.","['Gamification', 'Mobile apps', 'Self-system model of motivational development', 'User engagement']","['gamification', 'mobile apps', 'self-system model of motivational development', 'user engagement']","Enhancing user engagement: The role of gamification in mobile apps Organizations are increasingly making use of gamification to enhance users’ engagement with their mobile apps. However, more research into the mechanisms that facilitate user engagement and its consequences is needed. Drawing on the self-system model of motivational development, this study investigates how gamification might foster user engagement and positive marketing outcomes. Data from 276 users of a mobile gamified app were analyzed using partial least squares regression. The results showed that gamification increases user engagement through satisfaction of the needs for competence, autonomy and relatedness. User engagement, in turn, leads to greater intention to use, disseminate WOM about, and to positively rate, the app. Finally, this study provides a number of theoretical and practical implications that can help developers design more effective gamified mobile apps.",2021,427,10.1016/j.jbusres.2021.04.028,Bitrián P.,Journal of Business Research,2-s2.0-85104742779,0.32465227897451765,22,0,0.09818166120828731
It’s not all fun and games: gamification in e-commerce on consumers’ impulse buying of retail food products,"Purpose: This study aims to look into the role of gamification as an effective marketing tool to engage with consumers and influence purchase behaviours. As there are a plethora of gamified elements, it is crucial to determine which of them can significantly facilitate consumer purchase behaviour. Therefore, a unique stimulus–organism–response (SOR) framework which encompasses four popular gamified elements (i.e. fun, rewards, competition and badges) was employed to investigate consumers’ engagement. Design/methodology/approach: An online survey was utilized to collect the data which yielded 307 responses. Subsequently, partial least squares-structural equation modeling (PLS-SEM) was used to analyse the data. Findings: Among the gamification elements assessed in this study, fun was revealed to be the strongest facilitating antecedent of shopping engagement. However, reward was revealed to have an insignificant effect on shopping engagement. In addition, it was found that consumers undergo a processual development with regard to their impulse buying of retail food products. More precisely, shopping engagement is a significant facilitator of customer satisfaction which subsequently motivates impulse buying. Originality/value: This is among the pioneering studies to provide detailed insights into the effect of different gamified elements on consumer engagement. Furthermore, a number of practical and theoretical implications for the relevant stakeholders were discussed.","['Consumer behaviour', 'e-commerce platforms', 'Gamification', 'Impulse buying', 'Retail food products', 'Stimulus-organism-response']","['consumer behaviour', 'e-commerce platforms', 'gamification', 'impulse buying', 'retail food products', 'stimulus-organism-response']","It’s not all fun and games: gamification in e-commerce on consumers’ impulse buying of retail food products Purpose: This study aims to look into the role of gamification as an effective marketing tool to engage with consumers and influence purchase behaviours. As there are a plethora of gamified elements, it is crucial to determine which of them can significantly facilitate consumer purchase behaviour. Therefore, a unique stimulus–organism–response (SOR) framework which encompasses four popular gamified elements (i.e. fun, rewards, competition and badges) was employed to investigate consumers’ engagement. Design/methodology/approach: An online survey was utilized to collect the data which yielded 307 responses. Subsequently, partial least squares-structural equation modeling (PLS-SEM) was used to analyse the data. Findings: Among the gamification elements assessed in this study, fun was revealed to be the strongest facilitating antecedent of shopping engagement. However, reward was revealed to have an insignificant effect on shopping engagement. In addition, it was found that consumers undergo a processual development with regard to their impulse buying of retail food products. More precisely, shopping engagement is a significant facilitator of customer satisfaction which subsequently motivates impulse buying. Originality/value: This is among the pioneering studies to provide detailed insights into the effect of different gamified elements on consumer engagement. Furthermore, a number of practical and theoretical implications for the relevant stakeholders were discussed.",2025,14,10.1108/BFJ-04-2024-0361,Lim S.Y.,British Food Journal,2-s2.0-85214837317,0.3258892185914424,23,4,0.07586490801516121
Leveraging gamification for tourism marketing activities: Toward a comprehensive conceptual model,"Gamification has become one of the most effective ways to generate customer engagement. However, there needs to be more structured research on the drivers of the adoption and sustained use of gamification in travel and tourism research. Drawing upon the uses and gratifications theory and the technology acceptance model, this research examines the individual motivational drivers for adopting gamification in the context of tourism services. We employed a combination of partial least squares—structural equation modeling and fuzzy set qualitative comparative analysis on the data gathered from 680 users of various online travel agencies. Our findings show that individual motivational dimensions of uses and gratifications significantly influence perceived usefulness and ease of use in gamified marketing activities. Our analysis demonstrates five configurations leading to a high level of adoption of gamified marketing activities. This study extends the use of gamification in the tourism industry, offering insights into enhancing customer motivations for adopting and effectively utilizing game mechanics and dynamics in marketing activities. Furthermore, through a novel framework, this study advances the uses and gratification theory at the intersection of gamification research and tourism literature.","['destination marketing organization', 'Gamification', 'gamified tourism activities', 'technology acceptance model', 'uses and gratifications theory']","['destination marketing organization', 'gamification', 'gamified tourism activities', 'technology acceptance model', 'uses and gratifications theory']","Leveraging gamification for tourism marketing activities: Toward a comprehensive conceptual model Gamification has become one of the most effective ways to generate customer engagement. However, there needs to be more structured research on the drivers of the adoption and sustained use of gamification in travel and tourism research. Drawing upon the uses and gratifications theory and the technology acceptance model, this research examines the individual motivational drivers for adopting gamification in the context of tourism services. We employed a combination of partial least squares—structural equation modeling and fuzzy set qualitative comparative analysis on the data gathered from 680 users of various online travel agencies. Our findings show that individual motivational dimensions of uses and gratifications significantly influence perceived usefulness and ease of use in gamified marketing activities. Our analysis demonstrates five configurations leading to a high level of adoption of gamified marketing activities. This study extends the use of gamification in the tourism industry, offering insights into enhancing customer motivations for adopting and effectively utilizing game mechanics and dynamics in marketing activities. Furthermore, through a novel framework, this study advances the uses and gratification theory at the intersection of gamification research and tourism literature.",2026,9,10.1177/13567667241268725,Malik G.,Journal of Vacation Marketing,2-s2.0-85200990445,0.32626890627630656,24,3,0.17129421299702108
The impact of gamification features on customer brand engagement: a study in entertainment mobile apps,"This study aims to develop a conceptual model to investigate the influence of the main features of gamification (entertainment, interactivity, innovation, and sociability) on customers’ brand engagement in terms of emotional, cognitive, and behavioural dimensions on SnappQ as the online social and entertaining application. A survey employing researcher-developed-questionnaire was conducted by collecting data from 233 customers using SnappQ in Iran. The structural equation modelling method was employed to investigate research hypotheses. The findings of this study revealed that gamification features have a significant relationship with customer brand engagement. Following the findings, employing gamified services and gamification features in online social and entertaining platforms help managers to satisfy customers’ psychological needs, and this leads them to have to learn the manner of managing their customers to engage them profitably. The findings help marketing managers/practitioners to understand how to enhance customers’ motivation to engage with the desired brand by designing different gamification features.","['behavioural engagement', 'cognitive engagement', 'customer engagement', 'emotional engagement', 'gamification feature']","['behavioural engagement', 'cognitive engagement', 'customer engagement', 'emotional engagement', 'gamification feature']","The impact of gamification features on customer brand engagement: a study in entertainment mobile apps This study aims to develop a conceptual model to investigate the influence of the main features of gamification (entertainment, interactivity, innovation, and sociability) on customers’ brand engagement in terms of emotional, cognitive, and behavioural dimensions on SnappQ as the online social and entertaining application. A survey employing researcher-developed-questionnaire was conducted by collecting data from 233 customers using SnappQ in Iran. The structural equation modelling method was employed to investigate research hypotheses. The findings of this study revealed that gamification features have a significant relationship with customer brand engagement. Following the findings, employing gamified services and gamification features in online social and entertaining platforms help managers to satisfy customers’ psychological needs, and this leads them to have to learn the manner of managing their customers to engage them profitably. The findings help marketing managers/practitioners to understand how to enhance customers’ motivation to engage with the desired brand by designing different gamification features.",2025,0,10.1504/IJMC.2025.149384,Monfared A.R.K.,International Journal of Mobile Communications,2-s2.0-105020463731,0.3296442445257437,25,3,0.13910023379706793
